avg_rating,backup_location,btih,call_number,collection,contributor,coverage,creator,date,description,downloads,external-identifier,foldoutcount,format,genre,identifier,imagecount,indexflag,item_size,language,language_full,licenseurl,mediatype,members,month,name,noindex,num_reviews,oai_updatedate,platform,publicdate,publisher,related-external-id,reviewdate,rights,scanningcentre,source,stripped_tags,subject,title,title_cleaned,type,volume,week,year
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 85 02 (1985)(Markt & Technik)(de),90,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_85-02_1985_Markt_Technik_de,,"index,nonoindex",368048,eng,English,,software,,2,,,,"14.04.2021, 16.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 85 02 (1985)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 85 03 (1985)(Markt & Technik)(de),101,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_85-03_1985_Markt_Technik_de,,"index,nonoindex",645288,eng,English,,software,,1,,,,"14.04.2021, 16.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 85 03 (1985)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 85 04 (1985)(Markt & Technik)(de),96,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_85-04_1985_Markt_Technik_de,,"index,nonoindex",657603,eng,English,,software,,1,,,,"14.04.2021, 17.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 85 04 (1985)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 85 05 (1985)(Markt & Technik)(de),90,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_85-05_1985_Markt_Technik_de,,"index,nonoindex",555215,eng,English,,software,,1,,,,"14.04.2021, 18.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 85 05 (1985)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 85 06 (1985)(Markt & Technik)(de),86,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_85-06_1985_Markt_Technik_de,,"index,nonoindex",568651,eng,English,,software,,1,,,,"14.04.2021, 18.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 85 06 (1985)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 85 07 (1985)(Markt & Technik)(de),85,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_85-07_1985_Markt_Technik_de,,"index,nonoindex",688607,eng,English,,software,,1,,,,"14.04.2021, 18.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 85 07 (1985)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 85 08 (1985)(Markt & Technik)(de),94,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_85-08_1985_Markt_Technik_de,,"index,nonoindex",555309,eng,English,,software,,2,,,,"14.04.2021, 18.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 85 08 (1985)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 85 09 (1985)(Markt & Technik)(de),85,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_85-09_1985_Markt_Technik_de,,"index,nonoindex",677306,eng,English,,software,,1,,,,"14.04.2021, 03.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 85 09 (1985)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 85 10 (1985)(Markt & Technik)(de),91,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_85-10_1985_Markt_Technik_de,,"index,nonoindex",664987,eng,English,,software,,1,,,,"14.04.2021, 20.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 85 10 (1985)(Markt & Technik)(de),64'er Magazin,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin 85 11 (1985)(Markt & Technik)(de),119,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_85-11_1985_Markt_Technik_de,,"index,nonoindex",584255,eng,English,,software,,1,,,,"14.04.2021, 18.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin 85 11 (1985)(Markt & Technik)(de),64'er Magazin,,,0,
