avg_rating,backup_location,btih,call_number,collection,contributor,coverage,creator,date,description,downloads,external-identifier,foldoutcount,format,genre,identifier,imagecount,indexflag,item_size,language,language_full,licenseurl,mediatype,members,month,name,noindex,num_reviews,oai_updatedate,platform,publicdate,publisher,related-external-id,reviewdate,rights,scanningcentre,source,stripped_tags,subject,title,title_cleaned,type,volume,week,year
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #43 (19xx)(Markt & Technik)(de)(Side B),89,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_43_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",699044,eng,English,,software,,1,,,,"14.04.2021, 17.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #43 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #44 (19xx)(Markt & Technik)(de)(Side A),86,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_44_19xx_Markt_Technik_de_Side_A,,"index,nonoindex",689031,eng,English,,software,,3,,,,"14.04.2021, 16.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #44 (19xx)(Markt & Technik)(de)(Side A),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #44 (19xx)(Markt & Technik)(de)(Side B),91,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_44_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",693127,eng,English,,software,,1,,,,"14.04.2021, 18.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #44 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #45 (19xx)(Markt & Technik)(de)(Side A),88,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_45_19xx_Markt_Technik_de_Side_A,,"index,nonoindex",679973,eng,English,,software,,2,,,,"14.04.2021, 19.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #45 (19xx)(Markt & Technik)(de)(Side A),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #45 (19xx)(Markt & Technik)(de)(Side B),94,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_45_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",672471,eng,English,,software,,1,,,,"14.04.2021, 20.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #45 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #46 (19xx)(Markt & Technik)(de)(Side A),91,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_46_19xx_Markt_Technik_de_Side_A,,"index,nonoindex",632408,eng,English,,software,,5,,,,"14.04.2021, 20.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #46 (19xx)(Markt & Technik)(de)(Side A),64'er Magazin Sonderheft,,,1,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #46 (19xx)(Markt & Technik)(de)(Side B),90,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_46_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",755058,eng,English,,software,,2,,,,"14.04.2021, 17.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #46 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #47 (19xx)(Markt & Technik)(de)(Side A),86,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_47_19xx_Markt_Technik_de_Side_A,,"index,nonoindex",506255,eng,English,,software,,1,,,,"14.04.2021, 18.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #47 (19xx)(Markt & Technik)(de)(Side A),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #47 (19xx)(Markt & Technik)(de)(Side B),87,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_47_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",689031,eng,English,,software,,1,,,,"14.04.2021, 23.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #47 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #48 (19xx)(Markt & Technik)(de),101,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_48_19xx_Markt_Technik_de,,"index,nonoindex",713858,eng,English,,software,,1,,,,"14.04.2021, 20.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #48 (19xx)(Markt & Technik)(de),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #49 (19xx)(Markt & Technik)(de)(Side A),105,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_49_19xx_Markt_Technik_de_Side_A,,"index,nonoindex",1682866,eng,English,,software,,2,,,,"14.04.2021, 21.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #49 (19xx)(Markt & Technik)(de)(Side A),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #49 (19xx)(Markt & Technik)(de)(Side B),87,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_49_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",565192,eng,English,,software,,1,,,,"14.04.2021, 21.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #49 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #50 (19xx)(Markt & Technik)(de)(Side A),103,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_50_19xx_Markt_Technik_de_Side_A,,"index,nonoindex",1088166,eng,English,,software,,0,,,,"14.04.2021, 09.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #50 (19xx)(Markt & Technik)(de)(Side A),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #50 (19xx)(Markt & Technik)(de)(Side B),166,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_50_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",1183606,eng,English,,software,,9,,,,"14.04.2021, 20.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #50 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,3,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #51 (19xx)(Markt & Technik)(de)(Side A),94,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_51_19xx_Markt_Technik_de_Side_A,,"index,nonoindex",689031,eng,English,,software,,1,,,,"14.04.2021, 20.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #51 (19xx)(Markt & Technik)(de)(Side A),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #51 (19xx)(Markt & Technik)(de)(Side B),142,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_51_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",676711,eng,English,,software,,1,,,,"14.04.2021, 15.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #51 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #52 (19xx)(Markt & Technik)(de)(Side A),89,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_52_19xx_Markt_Technik_de_Side_A,,"index,nonoindex",243831,eng,English,,software,,2,,,,"14.04.2021, 15.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #52 (19xx)(Markt & Technik)(de)(Side A),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #52 (19xx)(Markt & Technik)(de)(Side B),106,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_52_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",556970,eng,English,,software,,0,,,,"14.04.2021, 20.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #52 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #53 (19xx)(Markt & Technik)(de)(Side A),103,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_53_19xx_Markt_Technik_de_Side_A,,"index,nonoindex",546799,eng,English,,software,,21,,,,"14.04.2021, 19.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #53 (19xx)(Markt & Technik)(de)(Side A),64'er Magazin Sonderheft,,,4,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #53 (19xx)(Markt & Technik)(de)(Side B),90,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_53_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",673534,eng,English,,software,,0,,,,"14.04.2021, 19.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #53 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #54 (19xx)(Markt & Technik)(de)(Side A),89,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_54_19xx_Markt_Technik_de_Side_A,,"index,nonoindex",330109,eng,English,,software,,1,,,,"14.04.2021, 22.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #54 (19xx)(Markt & Technik)(de)(Side A),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #54 (19xx)(Markt & Technik)(de)(Side B),175,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_54_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",2683600,eng,English,,software,,14,,,,"14.04.2021, 18.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #54 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,2,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #55 (19xx)(Markt & Technik)(de)(Side A),93,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_55_19xx_Markt_Technik_de_Side_A,,"index,nonoindex",709565,eng,English,,software,,1,,,,"14.04.2021, 21.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #55 (19xx)(Markt & Technik)(de)(Side A),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #55 (19xx)(Markt & Technik)(de)(Side B),92,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_55_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",579599,eng,English,,software,,1,,,,"14.04.2021, 22.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #55 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #56 (19xx)(Markt & Technik)(de)(Side A),84,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_56_19xx_Markt_Technik_de_Side_A,,"index,nonoindex",691184,eng,English,,software,,1,,,,"14.04.2021, 07.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #56 (19xx)(Markt & Technik)(de)(Side A),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #56 (19xx)(Markt & Technik)(de)(Side B),82,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_56_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",734091,eng,English,,software,,2,,,,"14.04.2021, 20.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #56 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #57 (19xx)(Markt & Technik)(de)(Side A),90,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_57_19xx_Markt_Technik_de_Side_A,,"index,nonoindex",676711,eng,English,,software,,1,,,,"14.04.2021, 21.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #57 (19xx)(Markt & Technik)(de)(Side A),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #57 (19xx)(Markt & Technik)(de)(Side B),97,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_57_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",561686,eng,English,,software,,2,,,,"14.04.2021, 20.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #57 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #58 (19xx)(Markt & Technik)(de)(Side A),81,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_58_19xx_Markt_Technik_de_Side_A,,"index,nonoindex",594152,eng,English,,software,,1,,,,"14.04.2021, 19.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #58 (19xx)(Markt & Technik)(de)(Side A),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #58 (19xx)(Markt & Technik)(de)(Side B),100,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_58_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",676711,eng,English,,software,,2,,,,"14.04.2021, 18.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #58 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #59 (19xx)(Markt & Technik)(de)(Side A),90,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_59_19xx_Markt_Technik_de_Side_A,,"index,nonoindex",1331757,eng,English,,software,,1,,,,"14.04.2021, 10.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #59 (19xx)(Markt & Technik)(de)(Side A),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #59 (19xx)(Markt & Technik)(de)(Side B),92,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_59_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",1726174,eng,English,,software,,1,,,,"14.04.2021, 22.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #59 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #60 (19xx)(Markt & Technik)(de)(Side A),96,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_60_19xx_Markt_Technik_de_Side_A,,"index,nonoindex",703455,eng,English,,software,,1,,,,"14.04.2021, 15.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #60 (19xx)(Markt & Technik)(de)(Side A),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #60 (19xx)(Markt & Technik)(de)(Side B),92,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_60_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",349241,eng,English,,software,,2,,,,"14.04.2021, 18.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #60 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #61 (19xx)(Markt & Technik)(de)(Side A),86,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_61_19xx_Markt_Technik_de_Side_A,,"index,nonoindex",610723,eng,English,,software,,1,,,,"14.04.2021, 23.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #61 (19xx)(Markt & Technik)(de)(Side A),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #61 (19xx)(Markt & Technik)(de)(Side B),92,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_61_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",472970,eng,English,,software,,1,,,,"14.04.2021, 22.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #61 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #62 (19xx)(Markt & Technik)(de)(Side A),90,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_62_19xx_Markt_Technik_de_Side_A,,"index,nonoindex",701131,eng,English,,software,,2,,,,"14.04.2021, 18.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #62 (19xx)(Markt & Technik)(de)(Side A),64'er Magazin Sonderheft,,,1,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #62 (19xx)(Markt & Technik)(de)(Side B),90,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_62_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",569792,eng,English,,software,,4,,,,"14.04.2021, 09.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #62 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,1,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #63 (19xx)(Markt & Technik)(de)(Side A),80,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_63_19xx_Markt_Technik_de_Side_A,,"index,nonoindex",587274,eng,English,,software,,4,,,,"14.04.2021, 22.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #63 (19xx)(Markt & Technik)(de)(Side A),64'er Magazin Sonderheft,,,1,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #63 (19xx)(Markt & Technik)(de)(Side B),87,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_63_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",681356,eng,English,,software,,2,,,,"14.04.2021, 18.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #63 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #64 (19xx)(Markt & Technik)(de)(Side A),94,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_64_19xx_Markt_Technik_de_Side_A,,"index,nonoindex",689031,eng,English,,software,,1,,,,"14.04.2021, 20.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #64 (19xx)(Markt & Technik)(de)(Side A),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #64 (19xx)(Markt & Technik)(de)(Side B),85,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_64_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",594152,eng,English,,software,,1,,,,"14.04.2021, 18.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #64 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #65 (19xx)(Markt & Technik)(de)(Side A),82,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_65_19xx_Markt_Technik_de_Side_A,,"index,nonoindex",1102637,eng,English,,software,,1,,,,"14.04.2021, 20.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #65 (19xx)(Markt & Technik)(de)(Side A),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #65 (19xx)(Markt & Technik)(de)(Side B),78,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_65_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",821471,eng,English,,software,,0,,,,"14.04.2021, 17.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #65 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #66 (19xx)(Markt & Technik)(de)(Side A),94,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_66_19xx_Markt_Technik_de_Side_A,,"index,nonoindex",778082,eng,English,,software,,0,,,,"14.04.2021, 14.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #66 (19xx)(Markt & Technik)(de)(Side A),64'er Magazin Sonderheft,,,0,
,,,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,,,,64'er Magazin Sonderheft #66 (19xx)(Markt & Technik)(de)(Side B),88,,,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",,64er_Magazin_Sonderheft_66_19xx_Markt_Technik_de_Side_B,,"index,nonoindex",499682,eng,English,,software,,6,,,,"14.04.2021, 22.05.2021",Commodore 64,14.04.2021,,,,,,,,,64'er Magazin Sonderheft #66 (19xx)(Markt & Technik)(de)(Side B),64'er Magazin Sonderheft,,,1,
