issue,title,platform,group,release,release_converted,link,download_links,external_download_links
"MF 3, MF3, MF #3, Metal Force #3","MF, Metal Force",Commodore 64,Airwolf-Team,3 June 1995,03.06.1995,https://csdb.dk//release/?id=3423,"ftp://ftp.padua.org/pub/c64/Magazines/metal_force/metal_force03.zip, ftp://c64.rulez.org/pub/c64/Magazines/Metal_Force/Metal_Force_03.zip, ftp://ftp.scs-trc.net/pub/c64/Magazines/Metal_Force/Metal_Force_03.zip, http://csdb.dk/getinternalfile.php/61977/Metal_Force_03.zip",http://ftp.pokefinder.org/index.php?s=Metal%20Force%203&sourceid=csdb
"Millenium #01, Millenium 1, Millenium #1",Millenium,Commodore 64,Axelerate,20 February 2001,20.02.2001,https://csdb.dk//release/?id=13154,http://csdb.dk/getinternalfile.php/37144/Millenium_01.zip,http://ftp.pokefinder.org/index.php?s=Millenium%201&sourceid=csdb
Mini Mag #09 [german],"Mini Mag, Mini-Mag",Commodore 64,,21 June 2014,21.06.2014,https://csdb.dk//release/?id=131845,http://csdb.dk/getinternalfile.php/131082/minimag09.zip,http://ftp.pokefinder.org/index.php?s=Mini%20Mag%2009%20german&sourceid=csdb
Mini-Mag #01 [german],"Mini Mag, Mini-Mag",Commodore 64,,26 March 2012,26.03.2012,https://csdb.dk//release/?id=107839,http://csdb.dk/getinternalfile.php/104976/mini-mag_01.zip,http://ftp.pokefinder.org/index.php?s=MiniMag%2001%20german&sourceid=csdb
Mini-Mag #02 [german],"Mini Mag, Mini-Mag",Commodore 64,,26 May 2012,26.05.2012,https://csdb.dk//release/?id=109410,http://csdb.dk/getinternalfile.php/106671/minimag02.zip,http://ftp.pokefinder.org/index.php?s=MiniMag%2002%20german&sourceid=csdb
Mini-Mag #03 [german],"Mini Mag, Mini-Mag",Commodore 64,,2 September 2012,02.09.2012,https://csdb.dk//release/?id=110964,http://csdb.dk/getinternalfile.php/108386/Mini Mag Ausgabe 3.rar,http://ftp.pokefinder.org/index.php?s=MiniMag%2003%20german&sourceid=csdb
Mini-Mag #04 [german],"Mini Mag, Mini-Mag",Commodore 64,,20 December 2012,20.12.2012,https://csdb.dk//release/?id=113831,http://csdb.dk/getinternalfile.php/111625/Mini Mag Ausgabe 4.rar,http://ftp.pokefinder.org/index.php?s=MiniMag%2004%20german&sourceid=csdb
Mini-Mag #05 [german],"Mini Mag, Mini-Mag",Commodore 64,,27 March 2013,27.03.2013,https://csdb.dk//release/?id=117582,http://csdb.dk/getinternalfile.php/115771/Mini Mag 05.rar,http://ftp.pokefinder.org/index.php?s=MiniMag%2005%20german&sourceid=csdb
Mini-Mag #06 [german],"Mini Mag, Mini-Mag",Commodore 64,,16 July 2013,16.07.2013,https://csdb.dk//release/?id=120723,http://csdb.dk/getinternalfile.php/119102/MiniMag#06.rar,http://ftp.pokefinder.org/index.php?s=MiniMag%2006%20german&sourceid=csdb
Mini-Mag #07 [german],"Mini Mag, Mini-Mag",Commodore 64,,17 October 2013,17.10.2013,https://csdb.dk//release/?id=129071,http://csdb.dk/getinternalfile.php/127902/Mini Mag #07.rar,http://ftp.pokefinder.org/index.php?s=MiniMag%2007%20german&sourceid=csdb
