issue,title,platform,group,release,release_converted,link,download_links,external_links
Energy #2,Energy,Atari 8 bit,Taquart,15 April 1998,15.04.1998,https://demozoo.org//productions/178462/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/8BIT/TAQUART/ENERGY2.ZIP,
Entity Newsletter #1,Entity Newsletter,MS-Dos,Entity,18 January 1994,18.01.1994,https://demozoo.org//productions/304554/,"https://files.scene.org/get/demos/compilations/lost_found_and_more/mags_reviews/nttnews1.zip, https://files.scene.org/view/demos/compilations/lost_found_and_more/mags_reviews/nttnews1.zip",
Entity Newsletter #2,Entity Newsletter,MS-Dos,Entity,21 January 1994,21.01.1994,https://demozoo.org//productions/304555/,"https://files.scene.org/get/demos/compilations/lost_found_and_more/mags_reviews/nttnews2.zip, https://files.scene.org/view/demos/compilations/lost_found_and_more/mags_reviews/nttnews2.zip",
Epistula #3,Epistula,Commodore 64,"Acrise, Shine",2 November 1992,02.11.1992,https://demozoo.org//productions/282194/,http://csdb.dk/getinternalfile.php/11931/Epistula3.zip,"https://csdb.dk/release/?id=24149, https://www.pouet.net/prod.php?which=41703"
Epistula #4,Epistula,Commodore 64,Acrise,12 May 1993,12.05.1993,https://demozoo.org//productions/304598/,http://csdb.dk/getinternalfile.php/11930/Epistula4.zip,"https://csdb.dk/release/?id=5276, https://www.pouet.net/prod.php?which=41701"
Eternal #1,Eternal,Amiga OCS/ECS,"Bronx, Rebels, Stage",September 1992,01.09.1992,https://demozoo.org//productions/98625/,"https://files.scene.org/get/mirrors/the_scene_archives/The_Scene_Archives_Vol_01/the_disks_are_in_here/disks_0851-0900/0868-eternal_1.dms, https://files.scene.org/view/mirrors/the_scene_archives/The_Scene_Archives_Vol_01/the_disks_are_in_here/disks_0851-0900/0868-eternal_1.dms","http://janeway.exotica.org.uk/release.php?id=8826, https://www.pouet.net/prod.php?which=16087"
Eternal 2,Eternal,Amiga OCS/ECS,Miracle,November 1993,01.11.1993,https://demozoo.org//productions/98626/,"http://aminet.net/pub/aminet/demo/mag/Eternal2.dms, https://files.scene.org/get/mags/eternal/eternal2.dms, https://files.scene.org/view/mags/eternal/eternal2.dms","http://janeway.exotica.org.uk/release.php?id=9861, https://www.pouet.net/prod.php?which=11633"
Eurochart 10,Eurochart,Amiga OCS/ECS,Crusaders,1 May 1991,01.05.1991,https://demozoo.org//productions/109889/,"http://ftp.amigascne.org/pub/amiga/Groups/C/Crusaders/Crusaders-Eurochart10.adf, https://archive.scene.org/pub/mirrors/amigascne/Groups/C/Crusaders/Crusaders-Eurochart10.adf, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/C/Crusaders/Crusaders-Eurochart10.adf","http://janeway.exotica.org.uk/release.php?id=7378, https://www.pouet.net/prod.php?which=9073"
Eurochart 11,Eurochart,Amiga OCS/ECS,Crusaders,1 July 1991,01.07.1991,https://demozoo.org//productions/109882/,"http://ftp.amigascne.org/pub/amiga/Groups/C/Crusaders/Crusaders-Eurochart11.dms, https://archive.scene.org/pub/mirrors/amigascne/Groups/C/Crusaders/Crusaders-Eurochart11.dms, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/C/Crusaders/Crusaders-Eurochart11.dms","http://janeway.exotica.org.uk/release.php?id=7499, https://www.pouet.net/prod.php?which=9074"
Eurochart 12,Eurochart,Amiga OCS/ECS,Crusaders,1 September 1991,01.09.1991,https://demozoo.org//productions/109893/,"http://ftp.amigascne.org/pub/amiga/Groups/C/Crusaders/CRUSADERS-Eurocharts12.DMS, https://archive.scene.org/pub/mirrors/amigascne/Groups/C/Crusaders/CRUSADERS-Eurocharts12.DMS, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/C/Crusaders/CRUSADERS-Eurocharts12.DMS","http://janeway.exotica.org.uk/release.php?id=7679, https://www.pouet.net/prod.php?which=9075"
