issue,title,platform,group,release,release_converted,link,download_links,external_links
11th #1,11th,MS-Dos,Mistigris,11 November 1997,11.11.1997,https://demozoo.org//productions/139815/,"https://files.scene.org/get/mags/11th/11th-1.zip, https://files.scene.org/view/mags/11th/11th-1.zip",
3Bit #1,3Bit,ZX Spectrum,"Patriots, Real Soft Makers",2005,01.01.2005,https://demozoo.org//productions/269727/,http://zxpress.ru/d.php?id=4,
3D Zine,3D Zine,Atari 8 bit,Sword,,,https://demozoo.org//productions/113557/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/8BIT/SWORD/3D_ZINE.ZIP,https://www.pouet.net/prod.php?which=88452
42 1,42,Amiga OCS/ECS,Talent,May 1994,01.05.1994,https://demozoo.org//productions/123673/,"http://ftp.amigascne.org/pub/amiga/Groups/T/Talent/Talent-4201.dms, https://archive.scene.org/pub/mirrors/amigascne/Groups/T/Talent/Talent-4201.dms, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/T/Talent/Talent-4201.dms, https://files.scene.org/get/demos/groups/talent/talent-4201.dms, https://files.scene.org/view/demos/groups/talent/talent-4201.dms","http://janeway.exotica.org.uk/release.php?id=10343, https://www.pouet.net/prod.php?which=32018"
42 2,42,Amiga AGA,Talent,3 August 1994,03.08.1994,https://demozoo.org//productions/194469/,"http://ftp.amigascne.org/pub/amiga/Groups/T/Talent/TALENT-4202.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/T/Talent/TALENT-4202.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/T/Talent/TALENT-4202.lha, http://ftp.amigascne.org/pub/amiga/Groups/T/Talent/Talent-42-2.adf, https://archive.scene.org/pub/mirrors/amigascne/Groups/T/Talent/Talent-42-2.adf, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/T/Talent/Talent-42-2.adf","http://janeway.exotica.org.uk/release.php?id=10335, https://www.pouet.net/prod.php?which=8782"
64 Times #1,64 Times,Commodore 64,Bronx,7 March 2000,07.03.2000,https://demozoo.org//productions/186673/,http://csdb.dk/getinternalfile.php/57602/64Times_01.zip,"https://csdb.dk/release/?id=9565, https://www.pouet.net/prod.php?which=19663"
688 (I) Hunter/Killer Review,688 (I) Hunter/Killer Review,MS-Dos,The Reviewers Guild,30 June 1997,30.06.1997,https://demozoo.org//productions/287487/,"https://files.scene.org/get/mags/reviews/trg/688_i_hunter_killer_review.zip, https://files.scene.org/view/mags/reviews/trg/688_i_hunter_killer_review.zip",
7 Zone 1,7 Zone,MS-Dos,Cyclonus,June 2000,01.06.2000,https://demozoo.org//productions/98685/,"https://files.scene.org/get/mags/7zone/7zone.zip, https://files.scene.org/view/mags/7zone/7zone.zip",https://www.pouet.net/prod.php?which=32587
7 Zone 2,7 Zone,Windows,Cyclonus,March 2001,01.03.2001,https://demozoo.org//productions/98686/,"https://files.scene.org/get/mags/7zone/7zone2.zip, https://files.scene.org/view/mags/7zone/7zone2.zip",https://www.pouet.net/prod.php?which=32588
7th Legion Review,7th Legion Review,MS-Dos,The Reviewers Guild,6 September 1997,06.09.1997,https://demozoo.org//productions/287486/,"https://files.scene.org/get/mags/reviews/trg/7th_legion_review.zip, https://files.scene.org/view/mags/reviews/trg/7th_legion_review.zip",
8 Ohms 10,8 Ohms,Amiga OCS/ECS,Sector 5,1 April 1998,01.04.1998,https://demozoo.org//productions/257722/,"http://ftp.amigascne.org/pub/amiga/Groups/S/Sector5/8ohms10.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/S/Sector5/8ohms10.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/S/Sector5/8ohms10.lha, https://files.scene.org/get/mags/8ohms/8ohms10.lha, https://files.scene.org/view/mags/8ohms/8ohms10.lha","http://janeway.exotica.org.uk/release.php?id=30582, https://www.pouet.net/prod.php?which=23714"
8 Ohms 11,8 Ohms,Amiga OCS/ECS,Sector 5,10 June 1998,10.06.1998,https://demozoo.org//productions/257723/,"http://ftp.amigascne.org/pub/amiga/Groups/S/Sector5/8ohms10.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/S/Sector5/8ohms10.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/S/Sector5/8ohms10.lha, https://files.scene.org/get/mags/8ohms/8ohms-11.zip, https://files.scene.org/view/mags/8ohms/8ohms-11.zip","http://janeway.exotica.org.uk/release.php?id=30583, https://www.pouet.net/prod.php?which=23711"
8 Ohms 2,8 Ohms,Amiga OCS/ECS,Sector 5,April 1996,01.04.1996,https://demozoo.org//productions/257724/,"http://ftp.amigascne.org/pub/amiga/Groups/S/Sector5/Sector5-8Ohms2.DMS, https://archive.scene.org/pub/mirrors/amigascne/Groups/S/Sector5/Sector5-8Ohms2.DMS, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/S/Sector5/Sector5-8Ohms2.DMS, https://files.scene.org/get/mags/8ohms/sector5-8ohms2.dms, https://files.scene.org/view/mags/8ohms/sector5-8ohms2.dms",http://janeway.exotica.org.uk/release.php?id=30589
8 Ohms 4,8 Ohms,Amiga OCS/ECS,Sector 5,1 January 1997,01.01.1997,https://demozoo.org//productions/257725/,"http://ftp.amigascne.org/pub/amiga/Groups/S/Sector5/Sector5-8Ohms4.dms, https://archive.scene.org/pub/mirrors/amigascne/Groups/S/Sector5/Sector5-8Ohms4.dms, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/S/Sector5/Sector5-8Ohms4.dms, https://files.scene.org/get/mags/8ohms/sector5-8ohms4.dms, https://files.scene.org/view/mags/8ohms/sector5-8ohms4.dms",http://janeway.exotica.org.uk/release.php?id=78968
8 Ohms 5,8 Ohms,Amiga OCS/ECS,Sector 5,1997,01.01.1997,https://demozoo.org//productions/257726/,"http://ftp.amigascne.org/pub/amiga/Groups/S/Sector5/8Ohms_5.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/S/Sector5/8Ohms_5.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/S/Sector5/8Ohms_5.lha, https://files.scene.org/get/mags/8ohms/8ohms_5.lha, https://files.scene.org/view/mags/8ohms/8ohms_5.lha","http://janeway.exotica.org.uk/release.php?id=30588, https://www.pouet.net/prod.php?which=23720"
8 Ohms 6,8 Ohms,Amiga OCS/ECS,Sector 5,17 March 1997,17.03.1997,https://demozoo.org//productions/257727/,"http://ftp.amigascne.org/pub/amiga/Groups/S/Sector5/S5-8Ohms06.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/S/Sector5/S5-8Ohms06.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/S/Sector5/S5-8Ohms06.lha, https://files.scene.org/get/mags/8ohms/8ohms_6.lha, https://files.scene.org/view/mags/8ohms/8ohms_6.lha","http://janeway.exotica.org.uk/release.php?id=30587, https://www.pouet.net/prod.php?which=23719"
8 Ohms 7,8 Ohms,Amiga OCS/ECS,Sector 5,1997,01.01.1997,https://demozoo.org//productions/257728/,"http://ftp.amigascne.org/pub/amiga/Groups/S/Sector5/8Ohms_7.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/S/Sector5/8Ohms_7.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/S/Sector5/8Ohms_7.lha, https://files.scene.org/get/mags/8ohms/8ohms_7.lha, https://files.scene.org/view/mags/8ohms/8ohms_7.lha","http://janeway.exotica.org.uk/release.php?id=30586, https://www.pouet.net/prod.php?which=23718"
8 Ohms 8,8 Ohms,Amiga OCS/ECS,Sector 5,1 January 1998,01.01.1998,https://demozoo.org//productions/257729/,"http://ftp.amigascne.org/pub/amiga/Groups/S/Sector5/8ohms_8.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/S/Sector5/8ohms_8.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/S/Sector5/8ohms_8.lha, https://files.scene.org/get/mags/8ohms/8ohms-8.zip, https://files.scene.org/view/mags/8ohms/8ohms-8.zip","http://janeway.exotica.org.uk/release.php?id=30585, https://www.pouet.net/prod.php?which=23717"
8 Ohms 9,8 Ohms,Amiga OCS/ECS,Sector 5,20 February 1998,20.02.1998,https://demozoo.org//productions/257721/,"http://ftp.amigascne.org/pub/amiga/Groups/S/Sector5/80hms.009.a.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/S/Sector5/80hms.009.a.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/S/Sector5/80hms.009.a.lha, https://files.scene.org/get/mags/8ohms/8ohms_9.lha, https://files.scene.org/view/mags/8ohms/8ohms_9.lha","http://janeway.exotica.org.uk/release.php?id=30584, https://www.pouet.net/prod.php?which=23716"
A-Doggi-Dog Mag,A-Doggi-Dog Mag,MS-Dos,Frolic,29 December 1995,29.12.1995,https://demozoo.org//productions/306999/,"https://files.scene.org/get/mags/a-doggi-dog/frl-add.zip, https://files.scene.org/view/mags/a-doggi-dog/frl-add.zip",https://www.pouet.net/prod.php?which=32599
A-Gate 1,A-Gate,Amiga OCS/ECS,Raptors,1995,01.01.1995,https://demozoo.org//productions/224211/,"http://ftp.amigascne.org/pub/amiga/Groups/R/Raptors/A-Gate1.dms, https://archive.scene.org/pub/mirrors/amigascne/Groups/R/Raptors/A-Gate1.dms, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/R/Raptors/A-Gate1.dms",http://janeway.exotica.org.uk/release.php?id=21535
A-Gate 2,A-Gate,Amiga OCS/ECS,Raptors,1996,01.01.1996,https://demozoo.org//productions/224213/,"http://ftp.amigascne.org/pub/amiga/Groups/R/Raptors/A-Gate2.dms, https://archive.scene.org/pub/mirrors/amigascne/Groups/R/Raptors/A-Gate2.dms, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/R/Raptors/A-Gate2.dms",http://janeway.exotica.org.uk/release.php?id=21536
Aaron Vs. Ruth Review,Aaron Vs. Ruth Review,MS-Dos,The Reviewers Guild,3 July 1997,03.07.1997,https://demozoo.org//productions/287488/,"https://files.scene.org/get/mags/reviews/trg/aaron_vs_ruth_review.zip, https://files.scene.org/view/mags/reviews/trg/aaron_vs_ruth_review.zip",
ABC Pack 04,ABC Pack,Amiga OCS/ECS,X-Tension,15 January 1996,15.01.1996,https://demozoo.org//productions/214451/,"http://ftp.amigascne.org/pub/amiga/Groups/X/X-Tension/XTE-ABCPack4.dms, https://archive.scene.org/pub/mirrors/amigascne/Groups/X/X-Tension/XTE-ABCPack4.dms, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/X/X-Tension/XTE-ABCPack4.dms","http://janeway.exotica.org.uk/release.php?id=87467, https://www.pouet.net/prod.php?which=86842"
Abnormalia 1,Abnormalia,Amiga OCS/ECS,Abnormalia,December 1992,01.12.1992,https://demozoo.org//productions/154345/,"http://ftp.amigascne.org/pub/amiga/Groups/A/Abnormalia/abnormalia-1.adf, https://archive.scene.org/pub/mirrors/amigascne/Groups/A/Abnormalia/abnormalia-1.adf, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/A/Abnormalia/abnormalia-1.adf","http://janeway.exotica.org.uk/release.php?id=3358, https://www.pouet.net/prod.php?which=24090"
Abnormalia 2,Abnormalia,Amiga OCS/ECS,Abnormalia,6 May 1993,06.05.1993,https://demozoo.org//productions/154346/,"http://ftp.amigascne.org/pub/amiga/Groups/A/Abnormalia/Abnormalia-Abnormalia02.dms, https://archive.scene.org/pub/mirrors/amigascne/Groups/A/Abnormalia/Abnormalia-Abnormalia02.dms, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/A/Abnormalia/Abnormalia-Abnormalia02.dms","http://janeway.exotica.org.uk/release.php?id=9537, https://www.pouet.net/prod.php?which=19712"
Abnormalia 3,Abnormalia,Amiga OCS/ECS,Abnormalia,30 September 1993,30.09.1993,https://demozoo.org//productions/193218/,"http://ftp.amigascne.org/pub/amiga/Groups/A/Abnormalia/Abnormalia-Abnormalia03.dms, https://archive.scene.org/pub/mirrors/amigascne/Groups/A/Abnormalia/Abnormalia-Abnormalia03.dms, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/A/Abnormalia/Abnormalia-Abnormalia03.dms","http://janeway.exotica.org.uk/release.php?id=9873, https://www.pouet.net/prod.php?which=19713"
Abnormalia 3.14,Abnormalia,Amiga OCS/ECS,Abnormalia,23 January 1994,23.01.1994,https://demozoo.org//productions/154347/,"http://ftp.amigascne.org/pub/amiga/Groups/A/Abnormalia/VARIOUS-Abnormalia03_14.DMS, https://archive.scene.org/pub/mirrors/amigascne/Groups/A/Abnormalia/VARIOUS-Abnormalia03_14.DMS, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/A/Abnormalia/VARIOUS-Abnormalia03_14.DMS","http://janeway.exotica.org.uk/release.php?id=81800, https://www.pouet.net/prod.php?which=19714"
Abnormalia 4,Abnormalia,Amiga OCS/ECS,Abnormalia,1994,01.01.1994,https://demozoo.org//productions/154348/,,
Abnormalia 5,Abnormalia,Amiga OCS/ECS,Abnormalia,1995,01.01.1995,https://demozoo.org//productions/154349/,"http://ftp.amigascne.org/pub/amiga/Groups/A/Abnormalia/VARIOUS-Abnormalia05.DMS, https://archive.scene.org/pub/mirrors/amigascne/Groups/A/Abnormalia/VARIOUS-Abnormalia05.DMS, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/A/Abnormalia/VARIOUS-Abnormalia05.DMS","http://janeway.exotica.org.uk/release.php?id=3365, https://www.pouet.net/prod.php?which=12459"
Absorbance 1,Absorbance,MS-Dos,Plan-9,January 1997,01.01.1997,https://demozoo.org//productions/98871/,"https://files.scene.org/get/mags/absorbance/abs-01.zip, https://files.scene.org/view/mags/absorbance/abs-01.zip",
Acid 1,Acid,MS-Dos,Necromaniax,1999,01.01.1999,https://demozoo.org//productions/69609/,"https://files.scene.org/get/mags/acid/acid%231.zip, https://files.scene.org/view/mags/acid/acid%231.zip",https://www.pouet.net/prod.php?which=9296
Acid In Wonderland 1,Acid in Wonderland,MS-Dos,Truth Virus X,1994,01.01.1994,https://demozoo.org//productions/188475/,"https://files.scene.org/get/demos/compilations/lost_found_and_more/acid_in_wonderland1.zip, https://files.scene.org/view/demos/compilations/lost_found_and_more/acid_in_wonderland1.zip, https://files.scene.org/get/mirrors/flerp/.2/Diskmag/AcidInWonder/aiw1ss.zip, https://files.scene.org/view/mirrors/flerp/.2/Diskmag/AcidInWonder/aiw1ss.zip",https://www.pouet.net/prod.php?which=76590
Ackernews 2,Ackernews,Amiga OCS/ECS,Ackerlight,December 1988,01.12.1988,https://demozoo.org//productions/53584/,"http://ftp.amigascne.org/pub/amiga/Groups/A/Ackerlight/ACKERLIGHT-Ackernews2.dms, https://archive.scene.org/pub/mirrors/amigascne/Groups/A/Ackerlight/ACKERLIGHT-Ackernews2.dms, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/A/Ackerlight/ACKERLIGHT-Ackernews2.dms","http://janeway.exotica.org.uk/release.php?id=1934, https://www.pouet.net/prod.php?which=33475"
Ackernews 2.5,Ackernews,Amiga OCS/ECS,Ackerlight,December 1988,01.12.1988,https://demozoo.org//productions/269732/,"http://ftp.amigascne.org/pub/amiga/Groups/A/Ackerlight/Ackerlight-Ackernews2.5.adf, https://archive.scene.org/pub/mirrors/amigascne/Groups/A/Ackerlight/Ackerlight-Ackernews2.5.adf, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/A/Ackerlight/Ackerlight-Ackernews2.5.adf","http://janeway.exotica.org.uk/release.php?id=93967, https://www.pouet.net/prod.php?which=82966"
ACNews #60,ACNews,ZX Spectrum,Conscience,December 2015,01.12.2015,https://demozoo.org//productions/169209/,"http://alonecoder.nedopc.com/zx/books/ACN60.rar, https://files.scene.org/get/mags/acnews/acn60.zip, https://files.scene.org/view/mags/acnews/acn60.zip",https://www.pouet.net/prod.php?which=66669
ACNews #61,ACNews,ZX Spectrum,Conscience,January 2016,01.01.2016,https://demozoo.org//productions/169210/,"http://alonecoder.nedopc.com/zx/books/acn61.zip, https://files.scene.org/get/mags/acnews/acn61.zip, https://files.scene.org/view/mags/acnews/acn61.zip",https://www.pouet.net/prod.php?which=66770
ACNews #62,ACNews,ZX Spectrum,Conscience,January 2016,01.01.2016,https://demozoo.org//productions/169208/,"http://alonecoder.nedopc.com/zx/books/acn62.rar, https://files.scene.org/get/mags/acnews/acn62.zip, https://files.scene.org/view/mags/acnews/acn62.zip",https://www.pouet.net/prod.php?which=66841
ACNews #63,ACNews,ZX Spectrum,Conscience,December 2016,01.12.2016,https://demozoo.org//productions/169211/,"http://alonecoder.nedopc.com/zx/books/acn63.rar, https://files.scene.org/get/mags/acnews/acn63.zip, https://files.scene.org/view/mags/acnews/acn63.zip",https://www.pouet.net/prod.php?which=68658
ACNews #64,ACNews,ZX Spectrum,Conscience,January 2017,01.01.2017,https://demozoo.org//productions/169212/,"http://alonecoder.nedopc.com/zx/books/acn64.rar, https://files.scene.org/get/mags/acnews/acn64.zip, https://files.scene.org/view/mags/acnews/acn64.zip",https://www.pouet.net/prod.php?which=68701
ACNews #65,ACNews,ZX Spectrum,Conscience,February 2017,01.02.2017,https://demozoo.org//productions/169213/,"http://alonecoder.nedopc.com/zx/books/acn65.rar, https://files.scene.org/get/mags/acnews/acn65.zip, https://files.scene.org/view/mags/acnews/acn65.zip",https://www.pouet.net/prod.php?which=68829
ACNews #66,ACNews,ZX Spectrum,Conscience,March 2017,01.03.2017,https://demozoo.org//productions/169214/,"http://alonecoder.nedopc.com/zx/books/acn66.rar, https://files.scene.org/get/mags/acnews/acn66.zip, https://files.scene.org/view/mags/acnews/acn66.zip",https://www.pouet.net/prod.php?which=69160
ACNews 53,ACNews,ZX Spectrum,,,,https://demozoo.org//productions/181451/,"https://files.scene.org/get/mags/acnews/acnews53.zip, https://files.scene.org/view/mags/acnews/acnews53.zip",
ACTION - Teacher's Magazin V1.0,ACTION - Teacher's Magazin V1.0,Atari ST/E,Ernesto-Soft,1992,01.01.1992,https://demozoo.org//productions/201486/,https://ftp.untergrund.net/users/ltk_tscc/fujiology/ST/E/ERNESTO/TEACHER.ZIP,
Action News 1,Action News,Commodore 64,,September 1989,01.09.1989,https://demozoo.org//productions/93550/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Action_News/Action_News_01.zip, https://files.scene.org/get/mags/action-news/action_news_01.zip, https://files.scene.org/view/mags/action-news/action_news_01.zip",https://csdb.dk/release/?id=29992
Action News 2,Action News,Commodore 64,,November 1989,01.11.1989,https://demozoo.org//productions/93551/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Action_News/Action_News_02.zip, https://files.scene.org/get/mags/action-news/action_news_02.zip, https://files.scene.org/view/mags/action-news/action_news_02.zip",https://csdb.dk/release/?id=15492
Action News 3,Action News,Commodore 64,,December 1989,01.12.1989,https://demozoo.org//productions/93552/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Action_News/Action_News_03.zip, https://files.scene.org/get/mags/action-news/action_news_03.zip, https://files.scene.org/view/mags/action-news/action_news_03.zip",https://csdb.dk/release/?id=15493
Action News 4,Action News,Commodore 64,,January 1990,01.01.1990,https://demozoo.org//productions/93553/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Action_News/Action_News_04.zip, https://files.scene.org/get/mags/action-news/action_news_04.zip, https://files.scene.org/view/mags/action-news/action_news_04.zip",https://csdb.dk/release/?id=15494
Action News 5,Action News,Commodore 64,,9 March 1990,09.03.1990,https://demozoo.org//productions/93554/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Action_News/Action_News_05.zip, https://files.scene.org/get/mags/action-news/action_news_05.zip, https://files.scene.org/view/mags/action-news/action_news_05.zip",https://csdb.dk/release/?id=15495
Action News 6,Action News,Commodore 64,,April 1990,01.04.1990,https://demozoo.org//productions/93555/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Action_News/Action_News_06.zip, https://files.scene.org/get/mags/action-news/action_news_06.zip, https://files.scene.org/view/mags/action-news/action_news_06.zip",https://csdb.dk/release/?id=5763
Action News 7,Action News,Commodore 64,,1990,01.01.1990,https://demozoo.org//productions/93556/,,
Action News 8,Action News,Commodore 64,,1990,01.01.1990,https://demozoo.org//productions/93557/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Action_News/Action_News_08.zip, https://files.scene.org/get/mags/action-news/action_news_08.zip, https://files.scene.org/view/mags/action-news/action_news_08.zip",https://csdb.dk/release/?id=27817
Action News 9,Action News,Commodore 64,Spherical Designs,February 1991,01.02.1991,https://demozoo.org//productions/93558/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Action_News/Action_News_09.zip, https://files.scene.org/get/mags/action-news/action_news_09.zip, https://files.scene.org/view/mags/action-news/action_news_09.zip","https://csdb.dk/release/?id=5764, https://www.pouet.net/prod.php?which=46655"
Ad-Mag Issue 1,Ad-Mag,Amiga OCS/ECS,Chaos,20 March 1994,20.03.1994,https://demozoo.org//productions/207814/,"http://ftp.amigascne.org/pub/amiga/Groups/C/Chaos/Chaos-Admag01, https://archive.scene.org/pub/mirrors/amigascne/Groups/C/Chaos/Chaos-Admag01, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/C/Chaos/Chaos-Admag01",http://janeway.exotica.org.uk/release.php?id=19569
Add-Vantages v1.0,Add-Vantages,Amiga OCS/ECS,Hysteria,29 December 1991,29.12.1991,https://demozoo.org//productions/246340/,"http://ftp.amigascne.org/pub/amiga/Groups/H/HysteriaFr/HYSTERIA-AddVantage1.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/H/HysteriaFr/HYSTERIA-AddVantage1.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/H/HysteriaFr/HYSTERIA-AddVantage1.lha","http://janeway.exotica.org.uk/release.php?id=844, https://www.pouet.net/prod.php?which=90110"
Addbox 1,Addbox,Amiga OCS/ECS,Black Jack,25 November 1994,25.11.1994,https://demozoo.org//productions/238077/,"http://ftp.amigascne.org/pub/amiga/Groups/B/Black_Jack/BlackJack-Addbox01.dms, https://archive.scene.org/pub/mirrors/amigascne/Groups/B/Black_Jack/BlackJack-Addbox01.dms, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/B/Black_Jack/BlackJack-Addbox01.dms",http://janeway.exotica.org.uk/release.php?id=10544
Addbox 2,Addbox,Amiga OCS/ECS,Black Jack,19 December 1994,19.12.1994,https://demozoo.org//productions/238078/,"http://ftp.amigascne.org/pub/amiga/Groups/B/Black_Jack/BJ-Addbox02.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/B/Black_Jack/BJ-Addbox02.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/B/Black_Jack/BJ-Addbox02.lha","http://janeway.exotica.org.uk/release.php?id=10624, https://www.pouet.net/prod.php?which=49080"
Addbox 5,Addbox,Amiga OCS/ECS,Redline,1996,01.01.1996,https://demozoo.org//productions/212249/,"http://ftp.amigascne.org/pub/amiga/Groups/R/Redline/addbox5.dms, https://archive.scene.org/pub/mirrors/amigascne/Groups/R/Redline/addbox5.dms, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/R/Redline/addbox5.dms",http://janeway.exotica.org.uk/release.php?id=23214
Addbox 6,Addbox,Amiga OCS/ECS,Redline,1996,01.01.1996,https://demozoo.org//productions/212250/,"http://ftp.amigascne.org/pub/amiga/Groups/R/Redline/Redline-Addbox6.lha, https://archive.scene.org/pub/mirrors/amigascne/Groups/R/Redline/Redline-Addbox6.lha, http://http.us.scene.org/pub/scene.org/mirrors/amigascne/Groups/R/Redline/Redline-Addbox6.lha",http://janeway.exotica.org.uk/release.php?id=27916
Addresses 3,Addresses,Commodore 64,Manowar,21 April 1990 at,21.04.1990,https://demozoo.org//productions/190449/,http://csdb.dk/getinternalfile.php/9805/ADDRESSES3.zip,"https://csdb.dk/release/?id=21855, https://www.pouet.net/prod.php?which=36535"
Addybook 1,Addybook,Commodore 64,Blaze,September 1991,01.09.1991,https://demozoo.org//productions/93560/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_01.zip, https://files.scene.org/get/mags/addybook/addybook-01.zip, https://files.scene.org/view/mags/addybook/addybook-01.zip","https://csdb.dk/release/?id=5148, https://www.pouet.net/prod.php?which=7918"
Addybook 10,Addybook,Commodore 64,Blaze,5 September 1992,05.09.1992,https://demozoo.org//productions/154724/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_10.zip, ftp://ftp.padua.org/pub/c64/Magazines/addybook/Addybook_10.lnx.gz, https://archive.scene.org/pub/mirrors/padua/Magazines/addybook/Addybook_10.lnx.gz, http://http.us.scene.org/pub/scene.org/mirrors/padua/Magazines/addybook/Addybook_10.lnx.gz, https://files.scene.org/get/mags/addybook/addybook-10.zip, https://files.scene.org/view/mags/addybook/addybook-10.zip",
Addybook 11,Addybook,Commodore 64,Blaze,31 October 1992,31.10.1992,https://demozoo.org//productions/154725/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_11.zip, ftp://ftp.padua.org/pub/c64/Magazines/addybook/Addybook_11.lnx.gz, https://archive.scene.org/pub/mirrors/padua/Magazines/addybook/Addybook_11.lnx.gz, http://http.us.scene.org/pub/scene.org/mirrors/padua/Magazines/addybook/Addybook_11.lnx.gz, https://files.scene.org/get/mags/addybook/addybook-11.zip, https://files.scene.org/view/mags/addybook/addybook-11.zip",
Addybook 12,Addybook,Commodore 64,Oxyron,7 February 1993,07.02.1993,https://demozoo.org//productions/154726/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_12%5BOxyron%5D.zip, https://files.scene.org/get/mags/addybook/addybook-12.zip, https://files.scene.org/view/mags/addybook/addybook-12.zip",https://www.pouet.net/prod.php?which=7910
Addybook 13,Addybook,Commodore 64,Oxyron,June 1993,01.06.1993,https://demozoo.org//productions/154727/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_13.zip, https://files.scene.org/get/mags/addybook/addybook-13.zip, https://files.scene.org/view/mags/addybook/addybook-13.zip",https://www.pouet.net/prod.php?which=7909
Addybook 14,Addybook,Commodore 64,Oxyron,October 1993,01.10.1993,https://demozoo.org//productions/154728/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_14.zip, https://files.scene.org/get/mags/addybook/addybook-14.zip, https://files.scene.org/view/mags/addybook/addybook-14.zip",https://www.pouet.net/prod.php?which=7908
Addybook 15,Addybook,Commodore 64,Oxyron,February 1994,01.02.1994,https://demozoo.org//productions/154729/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_15.zip, https://files.scene.org/get/mags/addybook/addybook-15.zip, https://files.scene.org/view/mags/addybook/addybook-15.zip",https://www.pouet.net/prod.php?which=7907
Addybook 2,Addybook,Commodore 64,Blaze,12 October 1991,12.10.1991,https://demozoo.org//productions/93561/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_02.zip, https://files.scene.org/get/mags/addybook/addybook-02.zip, https://files.scene.org/view/mags/addybook/addybook-02.zip","https://csdb.dk/release/?id=10103, https://www.pouet.net/prod.php?which=7903"
Addybook 3,Addybook,Commodore 64,Blaze,23 November 1991,23.11.1991,https://demozoo.org//productions/93562/,"ftp://ftp.scs-trc.net/pub/c64/Magazines/Addybook/Addybook_03.zip, https://files.scene.org/get/mags/addybook/addybook-03.zip, https://files.scene.org/view/mags/addybook/addybook-03.zip","https://csdb.dk/release/?id=10104, https://www.pouet.net/prod.php?which=7904"
