,issue,title,platform,release,collection,creator,description,downloads,format,identifier,item_size,language,mediatype,num_reviews,oai_updatedate,publicdate,publisher,reviewdate,subject,link
20,Cool-Ware 1 (1988-07-13)(Brain Trust)(fr)(Side A)(unk filesys).do,Cool-Ware,APPLE II,13.07.1988,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,Cool-Ware 1 (1988-07-13)(Brain Trust)(fr)(Side A)[unk filesys].do,646,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Cool_Ware_1_1988_07_13_Brain_Trust_fr_Side_A_unk_filesys.do,4073076,English,software,,"22.06.2014, 26.03.2022",22.06.2014,,,,https://archive.org/details/a2_Cool_Ware_1_1988_07_13_Brain_Trust_fr_Side_A_unk_filesys.do
21,Cool-Ware 1 (1988-07-13)(Brain Trust)(fr)(Side B),Cool-Ware,APPLE II,13.07.1988,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,Cool-Ware 1 (1988-07-13)(Brain Trust)(fr)(Side B),101,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Cool_Ware_1_1988_07_13_Brain_Trust_fr_Side_B,167432,English,software,,"22.06.2014, 17.03.2022",22.06.2014,,,,https://archive.org/details/a2_Cool_Ware_1_1988_07_13_Brain_Trust_fr_Side_B
22,Cool-Ware 1 (1988-07-13)(Brain Trust)(fr)(Side B).do,Cool-Ware,APPLE II,13.07.1988,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,Cool-Ware 1 (1988-07-13)(Brain Trust)(fr)(Side B).do,201,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Cool_Ware_1_1988_07_13_Brain_Trust_fr_Side_B.do,173826,English,software,,"22.06.2014, 24.03.2022",22.06.2014,,,,https://archive.org/details/a2_Cool_Ware_1_1988_07_13_Brain_Trust_fr_Side_B.do
23,Cool-Ware 2 (1989-01)(Brain Trust)(fr)(Side A),Cool-Ware,APPLE II,01.01.1989,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,Cool-Ware 2 (1989-01)(Brain Trust)(fr)(Side A),130,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Cool_Ware_2_1989_01_Brain_Trust_fr_Side_A,491357,English,software,,"22.06.2014, 21.03.2022",22.06.2014,,,,https://archive.org/details/a2_Cool_Ware_2_1989_01_Brain_Trust_fr_Side_A
24,Cool-Ware 2 (1989-01)(Brain Trust)(fr)(Side A).do,Cool-Ware,APPLE II,01.01.1989,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,Cool-Ware 2 (1989-01)(Brain Trust)(fr)(Side A).do,148,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Cool_Ware_2_1989_01_Brain_Trust_fr_Side_A.do,460461,English,software,,"22.06.2014, 26.03.2022",22.06.2014,,,,https://archive.org/details/a2_Cool_Ware_2_1989_01_Brain_Trust_fr_Side_A.do
25,Cool-Ware 2 (1989-01)(Brain Trust)(fr)(Side B)(unk filesys),Cool-Ware,APPLE II,01.01.1989,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,Cool-Ware 2 (1989-01)(Brain Trust)(fr)(Side B)[unk filesys],144,"Animated GIF,Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",a2_Cool_Ware_2_1989_01_Brain_Trust_fr_Side_B_unk_filesys,190436,English,software,,"22.06.2014, 01.04.2022",22.06.2014,,,,https://archive.org/details/a2_Cool_Ware_2_1989_01_Brain_Trust_fr_Side_B_unk_filesys
26,Cool-Ware 2 (1989-01)(Brain Trust)(fr)(Side B)(unk filesys).do,Cool-Ware,APPLE II,01.01.1989,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,Cool-Ware 2 (1989-01)(Brain Trust)(fr)(Side B)[unk filesys].do,120,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Cool_Ware_2_1989_01_Brain_Trust_fr_Side_B_unk_filesys.do,169657,English,software,,"22.06.2014, 20.03.2022",22.06.2014,,,,https://archive.org/details/a2_Cool_Ware_2_1989_01_Brain_Trust_fr_Side_B_unk_filesys.do
27,Demo Disk Magazine 1982 Premiere Issue,Demo Disk Magazine,APPLE II,01.01.1982,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Demo Disk Magazine 1982 Premiere Issue,214,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Demo_Disk_Magazine_1982_Premiere_Issue,353820,English,software,,"29.08.2016, 29.01.2017",29.08.2016,,,,https://archive.org/details/Demo_Disk_Magazine_1982_Premiere_Issue
28,Disk Doctor Nibble March 1990,Disk Doctor Nibble,APPLE II,01.03.1990,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Disk Doctor Nibble March 1990,86,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Disk_Doctor_Nibble_March_1990,264589,English,software,,"29.08.2016, 03.01.2017",29.08.2016,,,,https://archive.org/details/Disk_Doctor_Nibble_March_1990
29,Diskazine Issue 1 January February 1983 Side 1,Diskazine,APPLE II,01.01.1983,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Diskazine Issue 1 January February 1983 Side 1,194,"Animated GIF,Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Diskazine_Issue_1_January-February_1983_Side_1,1049045,English,software,1.0,"30.08.2016, 14.04.2020, 14.04.2020",30.08.2016,,14.04.2020,,https://archive.org/details/Diskazine_Issue_1_January-February_1983_Side_1
