issue,title,platform,group,release,release_converted,link,download_links,external_links
Coococ #18,Coococ,Commodore 64,Dynamix,1991,01.01.1991,https://www.pouet.net/prod.php?which=45315,http://csdb.dk/getinternalfile.php/78546/0201a.d64,"http://csdb.dk/release/?id=29976, http://demozoo.org/productions/126425/, https://www.pouet.net/mirrors.php?which=45315"
Coococ #2,Coococ,Commodore 64,"SHAPE, Coococ Magazine Staff",april 1989,01.04.1989,https://www.pouet.net/prod.php?which=13658,http://csdb.dk/release/download.php?id=85102,"http://csdb.dk/release/?id=18309, http://demozoo.org/productions/126098/, https://www.pouet.net/mirrors.php?which=13658"
Coococ #3,Coococ,Commodore 64,"SHAPE, Coococ Magazine Staff",april 1989,01.04.1989,https://www.pouet.net/prod.php?which=13659,http://csdb.dk/release/download.php?id=85090,"http://csdb.dk/release/?id=18310, http://demozoo.org/productions/126099/, https://www.pouet.net/mirrors.php?which=13659"
Coococ #4,Coococ,Commodore 64,Coococ Magazine Staff,may 1989,01.05.1989,https://www.pouet.net/prod.php?which=35726,http://csdb.dk/getinternalfile.php/48439/Coococ4_1989_Shape.d64.zip,"http://csdb.dk/release/?id=56308, https://www.pouet.net/mirrors.php?which=35726"
Coococ #5,Coococ,Commodore 64,"SHAPE, Coococ Magazine Staff",june 1989,01.06.1989,https://www.pouet.net/prod.php?which=13660,http://csdb.dk/release/download.php?id=48863,"http://csdb.dk/release/?id=18311, http://demozoo.org/productions/126100/, https://www.pouet.net/mirrors.php?which=13660"
Coococ #6,Coococ,Commodore 64,"SHAPE, Coococ Magazine Staff",july 1989,01.07.1989,https://www.pouet.net/prod.php?which=13661,http://csdb.dk/release/download.php?id=76801,"http://csdb.dk/release/?id=18312, http://demozoo.org/productions/126106/, https://www.pouet.net/mirrors.php?which=13661"
cooler #1,Cooler,MS-Dos,Storm Studios,december 1999,01.12.1999,https://www.pouet.net/prod.php?which=55672,https://files.scene.org/view/mags/cooler/cooler1.zip,"http://demozoo.org/productions/21300/, http://stormstudios.narod.ru/cool1src.zip, https://www.pouet.net/mirrors.php?which=55672"
cooler #2,Cooler,MS-Dos,Storm Studios,november 2000,01.11.2000,https://www.pouet.net/prod.php?which=55673,https://files.scene.org/view/mags/cooler/cooler2.zip,"http://demozoo.org/productions/21307/, https://www.pouet.net/mirrors.php?which=55673"
Cooler #3,Cooler,MS-Dos,Storm Studios,january 2001,01.01.2001,https://www.pouet.net/prod.php?which=55671,https://files.scene.org/view/mags/cooler/cooler3.zip,"http://demozoo.org/productions/21309/, https://www.pouet.net/mirrors.php?which=55671"
Cooler #3.5,Cooler,Windows,Storm Studios,march 2001,01.03.2001,https://www.pouet.net/prod.php?which=2043,https://files.scene.org/view/mags/cooler/cooler35.zip,https://www.pouet.net/mirrors.php?which=2043
Coolface 01,Coolface,Commodore 64,Gax777,november 1989,01.11.1989,https://www.pouet.net/prod.php?which=36274,http://csdb.dk/getinternalfile.php/39278/Cool Face %2301.rar,"http://csdb.dk/release/?id=17986, https://www.pouet.net/mirrors.php?which=36274"
Coolface 02,Coolface,Commodore 64,Gax777,november 1989,01.11.1989,https://www.pouet.net/prod.php?which=36273,http://csdb.dk/getinternalfile.php/39277/Cool Face %2302.rar,"http://csdb.dk/release/?id=17987, https://www.pouet.net/mirrors.php?which=36273"
Coolface 03,Coolface,Commodore 64,Gax777,november 1989,01.11.1989,https://www.pouet.net/prod.php?which=36272,http://csdb.dk/getinternalfile.php/39274/coolface03.zip,"http://csdb.dk/release/?id=17988, https://www.pouet.net/mirrors.php?which=36272"
Coolface 04,Coolface,Commodore 64,Gax777,april 1991,01.04.1991,https://www.pouet.net/prod.php?which=36269,http://csdb.dk/getinternalfile.php/50205/Coolface 04.d64,"http://csdb.dk/release/?id=49104, https://www.pouet.net/mirrors.php?which=36269"
Corruption #01,Corruption (1),Commodore 64,Actual Trading Generation,march 1990,01.03.1990,https://www.pouet.net/prod.php?which=36402,http://csdb.dk/getinternalfile.php/61450/Corruption_01.zip,"http://csdb.dk/release/?id=11568, http://demozoo.org/productions/46970/, https://www.pouet.net/mirrors.php?which=36402"
Corruption #02,Corruption (1),Commodore 64,Actual Trading Generation,march 1990,01.03.1990,https://www.pouet.net/prod.php?which=36401,http://noname.c64.org/csdb/release/download.php?id=9465,"http://csdb.dk/release/?id=11570, http://demozoo.org/productions/190438/, https://www.pouet.net/mirrors.php?which=36401"
Corruption #03,Corruption (1),Commodore 64,Actual Trading Generation,april 1990,01.04.1990,https://www.pouet.net/prod.php?which=36399,http://noname.c64.org/csdb/release/download.php?id=9466,"http://csdb.dk/release/?id=11571, http://demozoo.org/productions/190439/, https://www.pouet.net/mirrors.php?which=36399"
Corruption #04,Corruption (1),Commodore 64,Actual Trading Generation,july 1990,01.07.1990,https://www.pouet.net/prod.php?which=36397,http://noname.c64.org/csdb/release/download.php?id=9469,"http://csdb.dk/release/?id=11572, http://demozoo.org/productions/190440/, https://www.pouet.net/mirrors.php?which=36397"
Corruption #05,Corruption (1),Commodore 64,Actual Trading Generation,june 1990,01.06.1990,https://www.pouet.net/prod.php?which=36398,http://csdb.dk/getinternalfile.php/63567/Corruption_05.zip,"http://csdb.dk/release/?id=11899, http://demozoo.org/productions/190441/, https://www.pouet.net/mirrors.php?which=36398"
Corruption #06,Corruption (1),Commodore 64,Actual Trading Generation,august 1990,01.08.1990,https://www.pouet.net/prod.php?which=36396,http://noname.c64.org/csdb/release/download.php?id=17996,"http://csdb.dk/release/?id=11898, http://demozoo.org/productions/190442/, https://www.pouet.net/mirrors.php?which=36396"
Corruption #07,Corruption (1),Commodore 64,Actual Trading Generation,september 1990,01.09.1990,https://www.pouet.net/prod.php?which=36395,https://csdb.dk/release/download.php?id=64481,"http://csdb.dk/release/?id=11897, http://demozoo.org/productions/190443/, https://www.pouet.net/mirrors.php?which=36395"
Corruption #08,Corruption (1),Commodore 64,Paramount,november 1990,01.11.1990,https://www.pouet.net/prod.php?which=44760,http://noname.c64.org/csdb/release/download.php?id=19473,"http://csdb.dk/release/?id=11896, http://demozoo.org/productions/190444/, https://www.pouet.net/mirrors.php?which=44760"
Corruption #09,Corruption (1),Commodore 64,Genesis Project,1991,01.01.1991,https://www.pouet.net/prod.php?which=43702,http://noname.c64.org/csdb/release/download.php?id=10215,"http://csdb.dk/release/?id=11895, http://demozoo.org/productions/156110/, https://www.pouet.net/mirrors.php?which=43702"
Corruption #1,Corruption (2),MS-Dos,corruption staff,december 1993,01.12.1993,https://www.pouet.net/prod.php?which=22409,https://ftp.untergrund.net/users/irokos/magz/ACiD/cor1.zip,"http://demozoo.org/productions/279642/, https://www.pouet.net/mirrors.php?which=22409"
Corruption #10,Corruption (1),Commodore 64,Genesis Project,1991,01.01.1991,https://www.pouet.net/prod.php?which=43710,http://noname.c64.org/csdb/release/download.php?id=10216,"http://csdb.dk/release/?id=11894, http://demozoo.org/productions/190445/, https://www.pouet.net/mirrors.php?which=43710"
Corruption #11,Corruption (1),Commodore 64,The Dominators,1991,01.01.1991,https://www.pouet.net/prod.php?which=43115,http://csdb.dk/getinternalfile.php/62299/Corruption_11.zip,"http://csdb.dk/release/?id=11891, http://demozoo.org/productions/190446/, https://www.pouet.net/mirrors.php?which=43115"
Corruption #12,Corruption (1),Commodore 64,The Dominators,1992,01.01.1992,https://www.pouet.net/prod.php?which=43113,https://csdb.dk/release/download.php?id=85333,"http://csdb.dk/release/?id=5687, http://demozoo.org/productions/124003/, https://www.pouet.net/mirrors.php?which=43113"
Corruption #13,Corruption (1),Commodore 64,The Dominators,1992,01.01.1992,https://www.pouet.net/prod.php?which=43112,http://csdb.dk/getinternalfile.php/62416/Corruption_13.zip,"http://csdb.dk/release/?id=11893, http://demozoo.org/productions/190447/, https://www.pouet.net/mirrors.php?which=43112"
Corruption #14,Corruption (1),Commodore 64,The Dominators,1992,01.01.1992,https://www.pouet.net/prod.php?which=43111,http://csdb.dk/getinternalfile.php/62301/Corruption_14.zip,"http://csdb.dk/release/?id=5593, http://demozoo.org/productions/190448/, https://www.pouet.net/mirrors.php?which=43111"
Corruption #2,Corruption (2),MS-Dos,corruption staff,april 1994,01.04.1994,https://www.pouet.net/prod.php?which=22410,https://ftp.untergrund.net/users/irokos/magz/ACiD/cor2.zip,"http://demozoo.org/productions/279643/, https://www.pouet.net/mirrors.php?which=22410"
Corruption #3,Corruption (2),MS-Dos,corruption staff,may 1994,01.05.1994,https://www.pouet.net/prod.php?which=22411,https://ftp.untergrund.net/users/irokos/magz/ACiD/cor3.zip,"http://demozoo.org/productions/279644/, https://www.pouet.net/mirrors.php?which=22411"
Corruption #4,Corruption (2),MS-Dos,corruption staff,september 1994,01.09.1994,https://www.pouet.net/prod.php?which=22412,https://ftp.untergrund.net/users/irokos/magz/ACiD/cor4.zip,"http://demozoo.org/productions/279645/, https://www.pouet.net/mirrors.php?which=22412"
Corruption Preview,Corruption (1),Commodore 64,Orion,1990,01.01.1990,https://www.pouet.net/prod.php?which=45343,http://csdb.dk/getinternalfile.php/35128/CORRUP._PRV.ORN.d64,"http://csdb.dk/release/?id=44251, https://www.pouet.net/mirrors.php?which=45343"
Corruption Special Edition,Corruption (1),Commodore 64,The Dominators,,,https://www.pouet.net/prod.php?which=43123,http://csdb.dk/getinternalfile.php/52237/corruption_extra.t64,"http://csdb.dk/release/?id=60440, https://www.pouet.net/mirrors.php?which=43123"
Cosmania #01,Cosmania,Commodore 64,Cocyne,1990,01.01.1990,https://www.pouet.net/prod.php?which=41201,http://noname.c64.org/csdb/release/download.php?id=17441,"http://csdb.dk/release/?id=16745, https://www.pouet.net/mirrors.php?which=41201"
Cosmania #02,Cosmania,Commodore 64,Lore of Arts,february 1991,01.02.1991,https://www.pouet.net/prod.php?which=37655,http://csdb.dk/getinternalfile.php/50715/Cosmania %2302.d64,"http://csdb.dk/release/?id=58537, https://www.pouet.net/mirrors.php?which=37655"
Cosmania #03,Cosmania,Commodore 64,"Duplex, Lore of Arts",november 1990,01.11.1990,https://www.pouet.net/prod.php?which=36246,http://csdb.dk/getinternalfile.php/34909/Cosmania_03.zip,"http://csdb.dk/release/?id=44074, https://www.pouet.net/mirrors.php?which=36246"
Cosmania #04,Cosmania,Commodore 64,Lore of Arts,may 1991,01.05.1991,https://www.pouet.net/prod.php?which=37653,http://csdb.dk/getinternalfile.php/39984/Cosmania %2304_LOA.zip,"http://csdb.dk/release/?id=48703, https://www.pouet.net/mirrors.php?which=37653"
Cosmania #05,Cosmania,Commodore 64,Lore of Arts,july 1991,01.07.1991,https://www.pouet.net/prod.php?which=37648,http://csdb.dk/getinternalfile.php/14848/Cosmania 5%2BTruth 2.zip,"http://csdb.dk/release/?id=26573, https://www.pouet.net/mirrors.php?which=37648"
Cosmania #07,Cosmania,Commodore 64,Lore of Arts,february 1992,01.02.1992,https://www.pouet.net/prod.php?which=37641,http://csdb.dk/getinternalfile.php/38528/cosmania07.zip,"http://csdb.dk/release/?id=47421, https://www.pouet.net/mirrors.php?which=37641"
Cosmania #08,Cosmania,Commodore 64,Lore of Arts,september 1992,01.09.1992,https://www.pouet.net/prod.php?which=37638,http://csdb.dk/getinternalfile.php/129941/Cosmania_08.D64,"http://csdb.dk/release/?id=47419, https://www.pouet.net/mirrors.php?which=37638"
Cosmania #09,Cosmania,Commodore 64,Lore of Arts,december 1992,01.12.1992,https://www.pouet.net/prod.php?which=37637,http://csdb.dk/getinternalfile.php/38544/cosmania09.zip,"http://csdb.dk/release/?id=47439, https://www.pouet.net/mirrors.php?which=37637"
Coupe #1,Coupe,Commodore 64,X-Ray,1991,01.01.1991,https://www.pouet.net/prod.php?which=46219,http://csdb.dk/getinternalfile.php/40417/Coupe_01.zip,"http://csdb.dk/release/?id=49080, https://www.pouet.net/mirrors.php?which=46219"
Coupe #2,Coupe,Commodore 64,X-Ray,1991,01.01.1991,https://www.pouet.net/prod.php?which=46218,https://csdb.dk/release/download.php?id=59729,"http://csdb.dk/release/?id=49174, https://www.pouet.net/mirrors.php?which=46218"
COURAGE,COURAGE,NEC TurboGrafx/PC Engine,Chris Covell,april 2013,01.04.2013,https://www.pouet.net/prod.php?which=61274,http://www.chrismcovell.com/data/CMC_Courage_Diskmag.zip,"http://demozoo.org/productions/163813/, http://www.youtube.com/watch?v=XZ2CLimzi98, https://www.pouet.net/mirrors.php?which=61274"
Cowabunga #1,Cowabunga,Commodore 64,Turtles,december 1990,01.12.1990,https://www.pouet.net/prod.php?which=36992,http://csdb.dk/getinternalfile.php/34325/TURTLES - COWABUNGA %2301.d64,"http://csdb.dk/release/?id=43554, https://www.pouet.net/mirrors.php?which=36992"
Cowabunga #2,Cowabunga,Commodore 64,Turtles,february 1991,01.02.1991,https://www.pouet.net/prod.php?which=36991,http://csdb.dk/getinternalfile.php/34327/TURTLES - Cowabunga %2302.d64,"http://csdb.dk/release/?id=43556, https://www.pouet.net/mirrors.php?which=36991"
Cows n Bubbles feat Versus 4,Cows n Bubbles,Amiga PPC/RTG,Nukleus,august 2006,01.08.2006,https://www.pouet.net/prod.php?which=26235,https://files.scene.org/view/mirrors/amigascne/Groups/N/Nukleus/CowsNBubblesFeatVs4.lha,"http://demozoo.org/productions/189169/, https://www.pouet.net/mirrors.php?which=26235"
cows n snakefights #1,Cows n Snakefights,Amiga OCS/ECS,Nukleus,march 1999,01.03.1999,https://www.pouet.net/prod.php?which=14133,https://files.scene.org/view/mags/cows_n_snakefights/cns.lha,"http://demozoo.org/productions/204009/, https://www.pouet.net/mirrors.php?which=14133"
cows n snakefights #2,Cows n Snakefights,Amiga OCS/ECS,Nukleus,may 1999,01.05.1999,https://www.pouet.net/prod.php?which=14134,https://files.scene.org/view/mags/cows_n_snakefights/cns2_fix.lha,"http://demozoo.org/productions/252413/, https://www.pouet.net/mirrors.php?which=14134"
cows n snakefights #3,Cows n Snakefights,Amiga OCS/ECS,Nukleus,november 1999,01.11.1999,https://www.pouet.net/prod.php?which=60658,http://ftp.amigascne.org/pub/amiga/Groups/N/Nukleus/cns3.lha,"http://demozoo.org/productions/252414/, https://www.pouet.net/mirrors.php?which=60658"
cows n snakefights #4,Cows n Snakefights,Amiga AGA,Nukleus,october 2000,01.10.2000,https://www.pouet.net/prod.php?which=60659,https://files.scene.org/view/mirrors/amigascne/Groups/N/Nukleus/Nukleus-CaS4.lha,"http://demozoo.org/productions/252415/, https://www.pouet.net/mirrors.php?which=60659"
cows n snakefights #5,Cows n Snakefights,Amiga AGA,Nukleus,december 2003,01.12.2003,https://www.pouet.net/prod.php?which=11182,https://files.scene.org/view/mags/cows_n_snakefights/cns5.lha,"http://demozoo.org/productions/252416/, https://www.pouet.net/mirrors.php?which=11182"
cows n snakefights #6,Cows n Snakefights,Amiga AGA,Nukleus,june 2005,01.06.2005,https://www.pouet.net/prod.php?which=17622,https://files.scene.org/view/mirrors/amigascne/Groups/N/Nukleus/cns6.lha,"http://demozoo.org/productions/252417/, https://www.pouet.net/mirrors.php?which=17622"
Cows n Snakefights #7,Cows n Snakefights,Amiga AGA,Nukleus,april 2007,01.04.2007,https://www.pouet.net/prod.php?which=30506,https://files.scene.org/view/mags/cows_n_snakefights/cns7.lha,"http://demozoo.org/productions/71242/, https://www.pouet.net/mirrors.php?which=30506"
Cracker journal #01,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,january 1988,01.01.1988,https://www.pouet.net/prod.php?which=17619,https://files.scene.org/view/mirrors/amigascne/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal01.dms,"http://demozoo.org/productions/20398/, https://www.pouet.net/mirrors.php?which=17619"
Cracker Journal #02,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,february 1988,01.02.1988,https://www.pouet.net/prod.php?which=18593,http://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal02.dms,"http://demozoo.org/productions/20400/, https://www.pouet.net/mirrors.php?which=18593"
Cracker Journal #03,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,march 1988,01.03.1988,https://www.pouet.net/prod.php?which=18594,http://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal03.dms,"http://demozoo.org/productions/29065/, http://whdload.de/mags/AlphaFlight_CJ03.lha, https://www.pouet.net/mirrors.php?which=18594"
Cracker Journal #04,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,april 1988,01.04.1988,https://www.pouet.net/prod.php?which=18595,http://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal04.dms,"http://demozoo.org/productions/29070/, http://whdload.de/mags/AlphaFlight_CJ04.lha, https://www.pouet.net/mirrors.php?which=18595"
Cracker Journal #05,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,may 1988,01.05.1988,https://www.pouet.net/prod.php?which=18596,http://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal05.dms,"http://demozoo.org/productions/35426/, https://www.pouet.net/mirrors.php?which=18596"
Cracker Journal #06,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,june 1988,01.06.1988,https://www.pouet.net/prod.php?which=18597,http://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal06.dms,"http://demozoo.org/productions/35427/, https://www.pouet.net/mirrors.php?which=18597"
Cracker Journal #07/#08,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,july 1988,01.07.1988,https://www.pouet.net/prod.php?which=18598,http://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal07&8.dms,"http://demozoo.org/productions/35429/, https://www.pouet.net/mirrors.php?which=18598"
cracker journal #09,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,september 1988,01.09.1988,https://www.pouet.net/prod.php?which=14511,http://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal09.adf,"http://demozoo.org/productions/35430/, https://www.pouet.net/mirrors.php?which=14511"
Cracker Journal #10,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,november 1988,01.11.1988,https://www.pouet.net/prod.php?which=18599,http://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal10.dms,"http://demozoo.org/productions/6565/, https://www.pouet.net/mirrors.php?which=18599"
Cracker Journal #11,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,december 1988,01.12.1988,https://www.pouet.net/prod.php?which=18600,http://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal11.dms,"http://demozoo.org/productions/35432/, https://www.pouet.net/mirrors.php?which=18600"
Cracker Journal #12,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,january 1989,01.01.1989,https://www.pouet.net/prod.php?which=18601,http://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal12.adf,"http://demozoo.org/productions/35433/, https://www.pouet.net/mirrors.php?which=18601"
Cracker Journal #13,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,march 1989,01.03.1989,https://www.pouet.net/prod.php?which=18602,http://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/cracker13.dms,"http://demozoo.org/productions/35434/, https://www.pouet.net/mirrors.php?which=18602"
Cracker Journal #14,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,may 1989,01.05.1989,https://www.pouet.net/prod.php?which=18603,https://files.scene.org/view/mirrors/amigascne/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal14.dms,"http://demozoo.org/productions/35435/, https://www.pouet.net/mirrors.php?which=18603"
Cracker Journal #15,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,july 1989,01.07.1989,https://www.pouet.net/prod.php?which=18604,http://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal15.dms,"http://demozoo.org/productions/35436/, https://www.pouet.net/mirrors.php?which=18604"
Cracker Journal #16,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,october 1989,01.10.1989,https://www.pouet.net/prod.php?which=18605,http://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/cracker16.dms,"http://demozoo.org/productions/122766/, https://www.pouet.net/mirrors.php?which=18605"
Cracker Journal #17,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,november 1989,01.11.1989,https://www.pouet.net/prod.php?which=18606,https://files.scene.org/view/mirrors/amigascne/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal17.dms,"http://demozoo.org/productions/122780/, https://www.pouet.net/mirrors.php?which=18606"
Cracker Journal #18,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,january 1990,01.01.1990,https://www.pouet.net/prod.php?which=18607,http://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal18.DMS,"http://demozoo.org/productions/122781/, https://www.pouet.net/mirrors.php?which=18607"
Cracker Journal #19,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,march 1990,01.03.1990,https://www.pouet.net/prod.php?which=18608,http://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal19.dms,"http://demozoo.org/productions/122782/, https://www.pouet.net/mirrors.php?which=18608"
Cracker Journal #20,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,may 1990,01.05.1990,https://www.pouet.net/prod.php?which=18609,https://files.scene.org/view/mirrors/amigascne/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal20.adf,"http://demozoo.org/productions/122784/, https://www.pouet.net/mirrors.php?which=18609"
Cracker Journal #21,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,july 1990,01.07.1990,https://www.pouet.net/prod.php?which=18610,http://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal21A.DMS,"http://demozoo.org/productions/122821/, ftp://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal21B.DMS, https://www.pouet.net/mirrors.php?which=18610"
Cracker Journal #22,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,october 1990,01.10.1990,https://www.pouet.net/prod.php?which=18611,https://files.scene.org/view/mirrors/amigascne/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal22.adf,"http://demozoo.org/productions/122853/, https://www.pouet.net/mirrors.php?which=18611"
Cracker Journal #23,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,december 1990,01.12.1990,https://www.pouet.net/prod.php?which=18612,http://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal23.DMS,"http://demozoo.org/productions/122858/, https://www.pouet.net/mirrors.php?which=18612"
Cracker Journal #24,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,april 1991,01.04.1991,https://www.pouet.net/prod.php?which=18613,http://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal24.DMS,"http://demozoo.org/productions/122860/, https://www.pouet.net/mirrors.php?which=18613"
Cracker Journal #25,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,june 1991,01.06.1991,https://www.pouet.net/prod.php?which=18614,http://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal25-01.DMS,"http://demozoo.org/productions/122870/, https://www.pouet.net/mirrors.php?which=18614"
Cracker Journal #26,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,october 1991,01.10.1991,https://www.pouet.net/prod.php?which=18615,https://files.scene.org/view/mirrors/amigascne/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal26.adf,"http://demozoo.org/productions/122871/, https://www.pouet.net/mirrors.php?which=18615"
Cracker Journal #27,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,january 1992,01.01.1992,https://www.pouet.net/prod.php?which=18616,http://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal27.DMS,"http://demozoo.org/productions/122872/, https://www.pouet.net/mirrors.php?which=18616"
Cracker Journal #28,Cracker Journal,Amiga OCS/ECS,,may 1992,01.05.1992,https://www.pouet.net/prod.php?which=18214,https://files.scene.org/view/mirrors/the_scene_archives/The_Scene_Archives_Vol_02/the_disks_are_in_here/disks_1002-1050/1041-crackers_journal_28.dms,"http://demozoo.org/productions/122873/, https://www.pouet.net/mirrors.php?which=18214"
Cracker Journal Pre Issue,Cracker Journal,Amiga OCS/ECS,Gothic,1992,01.01.1992,https://www.pouet.net/prod.php?which=91476,https://ftp.untergrund.net/users/hitchhikr/old/cjpre.zip,https://www.pouet.net/mirrors.php?which=91476
Cracker Journal Special #01,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,december 1989,01.12.1989,https://www.pouet.net/prod.php?which=18617,https://files.scene.org/view/mirrors/amigascne/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournalSpecial1.adf,"http://demozoo.org/productions/233365/, https://www.pouet.net/mirrors.php?which=18617"
Cracker Journal Special #02,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,june 1990,01.06.1990,https://www.pouet.net/prod.php?which=18618,http://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournalSE2.dms,"http://demozoo.org/productions/233366/, https://www.pouet.net/mirrors.php?which=18618"
Cracker Journal Special #03,Cracker Journal,Amiga OCS/ECS,Alpha Flight 1970,march 1991,01.03.1991,https://www.pouet.net/prod.php?which=18619,http://ftp.amigascne.org/pub/amiga/Groups/A/Alpha_Flight/Cracker-Journal/AFL-CrackerJournal3Spec.dms,"http://demozoo.org/productions/233368/, https://www.pouet.net/mirrors.php?which=18619"
CrackMag 1,CrackMag,Amiga OCS/ECS,Trinomic,january 1991,01.01.1991,https://www.pouet.net/prod.php?which=88468,http://ftp.amigascne.org/pub/amiga/Groups/T/Trinomic-Tension/TRINOMIC-Crack01.adf,"http://demozoo.org/productions/230085/, https://www.pouet.net/mirrors.php?which=88468"
CrackMag 2,CrackMag,Amiga OCS/ECS,"Trinomic, Panic",march 1991,01.03.1991,https://www.pouet.net/prod.php?which=88470,http://ftp.amigascne.org/pub/amiga/Groups/T/Trinomic-Tension/Trinomic%26Panic-Crack02.dms,"http://demozoo.org/productions/291774/, https://www.pouet.net/mirrors.php?which=88470"
CrackMag 3,CrackMag,Amiga OCS/ECS,Tension,may 1991,01.05.1991,https://www.pouet.net/prod.php?which=88471,http://ftp.amigascne.org/pub/amiga/Groups/T/Tension/TRINOMIC-CrackMag03.dms,"http://demozoo.org/productions/217054/, https://www.pouet.net/mirrors.php?which=88471"
CrackMag 4,CrackMag,Amiga OCS/ECS,Tension,,,https://www.pouet.net/prod.php?which=18122,http://ftp.amigascne.org/pub/amiga/Groups/T/Tension/TENSION-CrackMag04.adf,"http://demozoo.org/productions/217055/, https://www.pouet.net/mirrors.php?which=18122"
Crash n' Burn #9,Crash n' Burn,MS-Dos,,may 1996,01.05.1996,https://www.pouet.net/prod.php?which=48821,https://files.scene.org/view/mirrors/artpacks/mags/1996/cnb-9605.zip,https://www.pouet.net/mirrors.php?which=48821
Cream #1,Cream,MS-Dos,Obnoxious,may 1996,01.05.1996,https://www.pouet.net/prod.php?which=1299,https://files.scene.org/view/mags/cream/cream01.zip,"http://demozoo.org/productions/66764/, https://www.pouet.net/mirrors.php?which=1299"
