issue,title,platform,group,release,release_converted,link,download_links,external_links
ACNews #71,ACNews,ZX Spectrum,Conscience,august 2018,01.08.2018,https://www.pouet.net/prod.php?which=77321,http://alonecoder.nedopc.com/zx/books/acn71.rar,https://www.pouet.net/mirrors.php?which=77321
ACNews #72,ACNews,ZX Spectrum,Conscience,november 2018,01.11.2018,https://www.pouet.net/prod.php?which=79021,https://ftp.untergrund.net/users/havoc/POUET/zx/acn72.rar,https://www.pouet.net/mirrors.php?which=79021
ACNews #73,ACNews,ZX Spectrum,Conscience,july 2020,01.07.2020,https://www.pouet.net/prod.php?which=86267,http://alonecoder.nedopc.com/zx/books/ACN73.zip,https://www.pouet.net/mirrors.php?which=86267
ACNews #74,ACNews,ZX Spectrum,Conscience,december 2021,01.12.2021,https://www.pouet.net/prod.php?which=90429,http://alonecoder.nedopc.com/zx/books/ACN74.zip,https://www.pouet.net/mirrors.php?which=90429
ACNews #75,ACNews,ZX Spectrum,Conscience,november 2022,01.11.2022,https://www.pouet.net/prod.php?which=92927,http://alonecoder.nedopc.com/zx/books/ACN75.zip,https://www.pouet.net/mirrors.php?which=92927
acnews 70,ACNews,ZX Spectrum,Conscience,may 2018,01.05.2018,https://www.pouet.net/prod.php?which=75997,http://alonecoder.nedopc.com/zx/books/acn70.rar,https://www.pouet.net/mirrors.php?which=75997
Action News #9,Action News,Commodore 64,Spherical Designs,1991,01.01.1991,https://www.pouet.net/prod.php?which=46655,http://csdb.dk/getinternalfile.php/130218/Action_News_09-Spherical_Designs.zip,"http://csdb.dk/release/?id=5764, http://demozoo.org/productions/93558/, https://www.pouet.net/mirrors.php?which=46655"
Add-Vantages #1,Add-Vantages,Amiga OCS/ECS,Hysteria,december 1991,01.12.1991,https://www.pouet.net/prod.php?which=90110,https://files.scene.org/view/mirrors/amigascne/Groups/H/HysteriaFr/HYSTERIA-AddVantage1.lha,"http://demozoo.org/productions/246340/, https://www.pouet.net/mirrors.php?which=90110"
Addbox #2,Addbox,Amiga OCS/ECS,Black Jack,december 1994,01.12.1994,https://www.pouet.net/prod.php?which=49080,https://files.scene.org/view/mirrors/amigascne/Groups/B/Black_Jack/BJ-Addbox02.lha,"http://demozoo.org/productions/238078/, https://www.pouet.net/mirrors.php?which=49080"
Addresses #1,Addresses,Commodore 64,The Foxfire Crew,,,https://www.pouet.net/prod.php?which=39681,http://noname.c64.org/csdb/release/download.php?id=44833,"http://csdb.dk/release/?id=37252, https://www.pouet.net/mirrors.php?which=39681"
Addresses #2,Addresses,Commodore 64,Manowar,,,https://www.pouet.net/prod.php?which=36542,http://csdb.dk/getinternalfile.php/53338/Addresses %232.D64,"http://csdb.dk/release/?id=37253, https://www.pouet.net/mirrors.php?which=36542"
Addresses #3,Addresses,Commodore 64,Manowar,november 1989,01.11.1989,https://www.pouet.net/prod.php?which=36535,http://csdb.dk/getinternalfile.php/9805/ADDRESSES3.zip,"http://csdb.dk/release/?id=21855, http://demozoo.org/productions/190449/, https://www.pouet.net/mirrors.php?which=36535"
Addresses #4,Addresses,Commodore 64,Ruthless,1990,01.01.1990,https://www.pouet.net/prod.php?which=45782,http://csdb.dk/getinternalfile.php/47337/Addresses_04.zip,"http://csdb.dk/release/?id=21497, https://www.pouet.net/mirrors.php?which=45782"
Addresses #5,Addresses,Commodore 64,Ruthless,1990,01.01.1990,https://www.pouet.net/prod.php?which=45780,http://csdb.dk/getinternalfile.php/51725/ADDRESSES_05-R-.T64,"http://csdb.dk/release/?id=37254, https://www.pouet.net/mirrors.php?which=45780"
Addy Burger #01,Addy Burger,Commodore 64,The Guards,july 1990,01.07.1990,https://www.pouet.net/prod.php?which=48353,http://csdb.dk/getinternalfile.php/18812/addyburger01.zip,"http://csdb.dk/release/?id=29994, https://www.pouet.net/mirrors.php?which=48353"
Addy Burger #02,Addy Burger,Commodore 64,Trans-X,1990,01.01.1990,https://www.pouet.net/prod.php?which=46265,http://csdb.dk/getinternalfile.php/36567/Addy Burger %2302.zip,"http://csdb.dk/release/?id=45555, https://www.pouet.net/mirrors.php?which=46265"
Addy Burger #03,Addy Burger,Commodore 64,Trans-X,1990,01.01.1990,https://www.pouet.net/prod.php?which=46264,http://csdb.dk/getinternalfile.php/44728/Addy Burger %2303.d64,"http://csdb.dk/release/?id=53110, https://www.pouet.net/mirrors.php?which=46264"
Addy Burger #04,Addy Burger,Commodore 64,Trans-X,1990,01.01.1990,https://www.pouet.net/prod.php?which=46262,http://csdb.dk/getinternalfile.php/18814/addyburger04.zip,"http://csdb.dk/release/?id=29996, https://www.pouet.net/mirrors.php?which=46262"
Addy Burger #05,Addy Burger,Commodore 64,Trans-X,1990,01.01.1990,https://www.pouet.net/prod.php?which=46271,http://csdb.dk/getinternalfile.php/18816/addyburger05.zip,"http://csdb.dk/release/?id=29998, https://www.pouet.net/mirrors.php?which=46271"
Addybook #1,Addybook,Commodore 64,Blaze,september 1991,01.09.1991,https://www.pouet.net/prod.php?which=7918,https://files.scene.org/view/mirrors/padua/Magazines/mags.c64.org/a-z/A/addybook01.zip,"http://csdb.dk/release/?id=5148, http://demozoo.org/productions/93560/, https://www.pouet.net/mirrors.php?which=7918"
Addybook #10,Addybook,Commodore 64,Blaze,september 1992,01.09.1992,https://www.pouet.net/prod.php?which=7912,https://files.scene.org/view/mirrors/padua/Magazines/mags.c64.org/a-z/A/addybook10.zip,"http://csdb.dk/release/?id=10109, https://www.pouet.net/mirrors.php?which=7912"
