issue,title,platform,release,collection,creator,description,downloads,format,identifier,item_size,language,mediatype,num_reviews,oai_updatedate,publicdate,publisher,reviewdate,subject,link
BBS News #2 (1993 09 06)( ),BBS News,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,BBS News #2 (1993 09 06)( ),148,"Advanced Audio Coding,Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata",BBS_News_2_1993-09-06_-,9181669,English,software,,"02.09.2018, 03.06.2020",02.09.2018,,,,https://archive.org/details/BBS_News_2_1993-09-06_-
BBS News #3 (1993 12 05)( ),BBS News,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,BBS News #3 (1993 12 05)( ),95,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",BBS_News_3_1993-12-05_-,2501539,English,software,,"02.09.2018, 03.06.2020",02.09.2018,,,,https://archive.org/details/BBS_News_3_1993-12-05_-
Beam #3,Beam,MS-DOS,01.03.1999,"diskmags,softwarelibrary,emulation",,"MS-DOS diskmag. Final edition, in plaintext format.",60,"Archive BitTorrent,Metadata,ZIP",beam3,19229,English,software,,"13.01.2015, 26.01.2023",13.01.2015,,,"diskmags,MS-DOS diskmags,plaintext diskmags",https://archive.org/details/beam3
Beyond Sanit-E #1,Beyond Sanit-E,Amiga,27.08.1995,"diskmags,softwarelibrary,emulation",PowerTek,Amiga diskmag.,73,"Amiga Disk File,JPEG Thumb,Metadata,PNG",beyond-sanit-e-1,946885,English,software,,"07.01.2015, 01.04.2023",07.01.2015,,,"diskmags,Amiga diskmags",https://archive.org/details/beyond-sanit-e-1
Beyond Sanit-E #3,Beyond Sanit-E,Amiga,24.04.1996,"diskmags,softwarelibrary,emulation",PowerTek,Amiga diskmag.,102,"Amiga Disk File,JPEG Thumb,Metadata,PNG",beyond-sanit-e-3,1896177,English,software,,"07.01.2015, 29.03.2023",07.01.2015,,,"diskmags,Amiga diskmags",https://archive.org/details/beyond-sanit-e-3
BIG BLUE DISK #2,BIG BLUE DISK,MS-DOS,01.12.1986,"softwarelibrary_msdos_shareware,softwarelibrary,emulation,bigbluedisk,diskmags,softwarelibrary_msdos,fav-louis_queva,fav-nostalgiasearch,fav-thaxton_wummel,fav-cyril_anouar_streit,fav-mark1st,fav-michael_batayola,fav-mr_jurjie,fav-chiatrix63,fav-alper_eskikilic,fav-william_wolff-myren,fav-williameom,fav-boon_and_friends,fav-wam1983",Softdisk Publishing,"BIG BLUE DISK Issue No. 2 - December, 1986 ========= First Things First ======== Diskovery Table of Contents ========== Fun 'n Games ========== Logical Choice Computer Yahtzee ============ Helpware ============ Free-Form Database ============ Brainware =========== Abacus ========== Picture This ========== - Gallerie D' Art -   Magrite   ======== The Happy Hacker ======== Bits 'n PC's - Kramden Utilities -   DOS Command History ========== Random Events ========= Eyewitness News =========== Diskussion =========== Blue Notes Recipes Wish I'd Said That... ============ Diskourse =========== How to Disk Us BlueLine Editor ============ Snake Oil =========== * Subscription Stuff *   Homeward Bound ======== Last Things Last ======== Harvest Transferring Programs Credits",1654,"Archive BitTorrent,Emulator Screenshot,Item Tile,Metadata,ZIP",msdos_bbd02,231156,English,software,4.0,"21.06.2022, 20.03.2023, 26.02.2023",21.06.2022,,26.02.2023,"Big Blue Disk,ibm,pc,disk,softdisk,magazine,dos,software",https://archive.org/details/msdos_bbd02
BIG BLUE DISK #21,BIG BLUE DISK,MS-DOS,01.07.1988,"bigbluedisk,diskmags,softwarelibrary",Softdisk,BIG BLUE DISK Issue No. 21 ======= First Things First ======= Diskovery About Big Blue Disk Table of Contents ========== Fun 'n Games ========== Crazy Eights ============ Helpware ============ The Print Utility Directory Label Printer =========== Brainware ============ Computer Quiz ========== Picture This ========== Fireworks Construction Kit ========== Happy Hacker ========== The DETAB Command ====== On the Editor's Desk ====== On the Editor's Desk =========== Diskussion =========== Blue Notes ======== Special Program  ======== PC-Key-Draw ======== Last Things Last ======== BlueLine Editor In The Mail What's New Credits,346,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,ZIP",bbd21,554488,English,software,,"26.08.2016, 16.07.2020",26.08.2016,,,"screen,disk,cursor,color,program,text,drawing,mode,macro,graphics,big blue,blue disk,library disk,key macro,high resolution,cursor mode,aspect ratio,quick copy,entire screen,disk files",https://archive.org/details/bbd21
BIG BLUE DISK #28,BIG BLUE DISK,MS-DOS,01.02.1989,"bigbluedisk,diskmags,softwarelibrary",Softdisk,BIG BLUE DISK Issue No. 28 ======= First Things First ======= Diskovery About Big Blue Disk Table of Contents ========== Fun 'n Games ========== Fourcard ============ Helpware ============ Home Inventory ========= Picture This =========== Print Shop Images =========== Brainware ============ The Game of Life The BASIC Quiz ========== Happy Hacker ========== Keyboard Buffer PC-Notes ========= Bonus Feature  ========= The Lost Crown of Queen Anne =========== Diskussion =========== On the Editor's Desk Blue Notes ======== Last Things Last ======== In The Mail Marketplace BlueLine Editor Report Card Credits,356,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,ZIP",bbd28,534730,English,software,,"26.08.2016, 18.07.2020",26.08.2016,,,"program,disk,blue,buffer,programs,enter,text,files,menu,big,big blue,blue disk,print shop,disk files,lost crown,subject matter,dear big,word processor,keyboard buffer,basic quiz",https://archive.org/details/bbd28
BIG BLUE DISK #47,BIG BLUE DISK,MS-DOS,01.08.1990,"bigbluedisk,diskmags,softwarelibrary,fav-mr_jurjie",Softdisk,"BIG BLUE DISK Issue No. 47 ======== First Things First ===== Diskovery About Big Blue Disk Table of Contents ========= Feature Program ======= Words for Kids ============ Helpware =========== MouseIt FindMe! Directory Tree ============ Brainware ========== Spanish Tutor ========== Fun 'N Games ========= Castle of Kroz Scramble ========== Picture This ========= Print Shop Images =========== Diskussion ========== Blue Notes ======== Last Things Last ======= In The Mail Marketplace BlueLine Editor, Report Card Credits",430,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,ZIP",bbd47,733260,English,software,,"26.08.2016, 24.07.2020",26.08.2016,,,"disk,press,program,cursor,arrow,blue,spanish,mouse,key,files,big blue,blue disk,arrow key,print shop,spanish tutor,directory tree,key moves,disk files,learn spanish,highlight bar",https://archive.org/details/bbd47
Bild Zeitung #1 (1990 11)(Bild Zeitung Staff X Ray),Bild Zeitung,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bild Zeitung #1 (1990 11)(Bild Zeitung Staff X Ray),75,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bild_Zeitung_1_1990-11_Bild_Zeitung_Staff_X-Ray,865288,English,software,,"02.09.2018, 06.06.2020",02.09.2018,,,,https://archive.org/details/Bild_Zeitung_1_1990-11_Bild_Zeitung_Staff_X-Ray
Bild Zeitung #1 (1990 11)(X Ray),Bild Zeitung,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bild Zeitung #1 (1990 11)(X Ray),354,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bild_Zeitung_1_1990-11_X-Ray,6675768,English,software,,"02.09.2018, 06.06.2020",02.09.2018,,,,https://archive.org/details/Bild_Zeitung_1_1990-11_X-Ray
Bild Zeitung #2 (1990 12)(Bild Zeitung Staff X Ray),Bild Zeitung,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bild Zeitung #2 (1990 12)(Bild Zeitung Staff X Ray),94,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bild_Zeitung_2_1990-12_Bild_Zeitung_Staff_X-Ray,7770036,English,software,,"02.09.2018, 06.06.2020",02.09.2018,,,,https://archive.org/details/Bild_Zeitung_2_1990-12_Bild_Zeitung_Staff_X-Ray
Bild Zeitung #3 (1991 01)(X Ray),Bild Zeitung,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bild Zeitung #3 (1991 01)(X Ray),231,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bild_Zeitung_3_1991-01_X-Ray,3564735,English,software,,"02.09.2018, 06.06.2020",02.09.2018,,,,https://archive.org/details/Bild_Zeitung_3_1991-01_X-Ray
Bild Zeitung #4 (1991)(X Ray),Bild Zeitung,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bild Zeitung #4 (1991)(X Ray),193,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bild_Zeitung_4_1991_X-Ray,8317964,English,software,,"02.09.2018, 06.06.2020",02.09.2018,,,,https://archive.org/details/Bild_Zeitung_4_1991_X-Ray
Bild Zeitung #5 (1991 04)(Bild Zeitung Staff X Ray),Bild Zeitung,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bild Zeitung #5 (1991 04)(Bild Zeitung Staff X Ray),275,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bild_Zeitung_5_1991-04_Bild_Zeitung_Staff_X-Ray,10365839,English,software,,"02.09.2018, 06.06.2020",02.09.2018,,,,https://archive.org/details/Bild_Zeitung_5_1991-04_Bild_Zeitung_Staff_X-Ray
Bild Zeitung #5 (1991 04)(X Ray),Bild Zeitung,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bild Zeitung #5 (1991 04)(X Ray),309,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bild_Zeitung_5_1991-04_X-Ray,10369660,English,software,,"02.09.2018, 06.06.2020",02.09.2018,,,,https://archive.org/details/Bild_Zeitung_5_1991-04_X-Ray
Bild Zeitung #6 (1991 07)(Bild Zeitung Staff X Ray),Bild Zeitung,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bild Zeitung #6 (1991 07)(Bild Zeitung Staff X Ray),74,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bild_Zeitung_6_1991-07_Bild_Zeitung_Staff_X-Ray,1101345,English,software,,"02.09.2018, 06.06.2020",02.09.2018,,,,https://archive.org/details/Bild_Zeitung_6_1991-07_Bild_Zeitung_Staff_X-Ray
Bild Zeitung #6 (1991)(X Ray),Bild Zeitung,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bild Zeitung #6 (1991)(X Ray),168,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bild_Zeitung_6_1991_X-Ray,4926348,English,software,,"02.09.2018, 06.06.2020",02.09.2018,,,,https://archive.org/details/Bild_Zeitung_6_1991_X-Ray
Bild Zeitung #7 (1991 08)(X Ray),Bild Zeitung,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bild Zeitung #7 (1991 08)(X Ray),138,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bild_Zeitung_7_1991-08_X-Ray,9407059,English,software,,"02.09.2018, 06.06.2020",02.09.2018,,,,https://archive.org/details/Bild_Zeitung_7_1991-08_X-Ray
Bioblech #1 (1997)(KRG)(de)(Side A),Bioblech,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,"Bioblech #1 (1997)(KRG)(de)(Side A) NOTE: This emulation has multiple disk images. To switch between them, press ALT-8 and select among the .d64 filenames to load that floppy into the drive.",95,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bioblech_1_1997_KRG_de_Side_A,480267,English,software,,"02.09.2018, 06.06.2020",02.09.2018,,,,https://archive.org/details/Bioblech_1_1997_KRG_de_Side_A
Bioblech #2 (1997)(KRG)(de)(Side A),Bioblech,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,"Bioblech #2 (1997)(KRG)(de)(Side A) NOTE: This emulation has multiple disk images. To switch between them, press ALT-8 and select among the .d64 filenames to load that floppy into the drive.",74,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bioblech_2_1997_KRG_de_Side_A,480552,English,software,,"02.09.2018, 07.06.2020",02.09.2018,,,,https://archive.org/details/Bioblech_2_1997_KRG_de_Side_A
Bioblech #3 (1998 10)(KRG)(de),Bioblech,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bioblech #3 (1998 10)(KRG)(de),125,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bioblech_3_1998-10_KRG_de,1002749,English,software,,"02.09.2018, 07.06.2020",02.09.2018,,,,https://archive.org/details/Bioblech_3_1998-10_KRG_de
Biometal #1 (1995 12 28)(High Tech Soul Star)(de),Biometal,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Biometal #1 (1995 12 28)(High Tech Soul Star)(de),91,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Biometal_1_1995-12-28_High_Tech_Soul_Star_de,1625531,English,software,,"02.09.2018, 07.06.2020",02.09.2018,,,,https://archive.org/details/Biometal_1_1995-12-28_High_Tech_Soul_Star_de
Bitmania #01 (1991)(Abyss Connection),Bitmania,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bitmania #01 (1991)(Abyss Connection),87,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bitmania_01_1991_Abyss_Connection,1615738,English,software,,"02.09.2018, 07.06.2020",02.09.2018,,,,https://archive.org/details/Bitmania_01_1991_Abyss_Connection
Bitmania #02 (1991)(Abyss Connection),Bitmania,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bitmania #02 (1991)(Abyss Connection),145,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bitmania_02_1991_Abyss_Connection,2247481,English,software,,"02.09.2018, 07.06.2020",02.09.2018,,,,https://archive.org/details/Bitmania_02_1991_Abyss_Connection
Bitmania #03 (1991)(Abyss Connection),Bitmania,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bitmania #03 (1991)(Abyss Connection),74,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bitmania_03_1991_Abyss_Connection,1284241,English,software,,"02.09.2018, 07.06.2020",02.09.2018,,,,https://archive.org/details/Bitmania_03_1991_Abyss_Connection
Bitmania #04 (1991)(Abyss Connection),Bitmania,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bitmania #04 (1991)(Abyss Connection),74,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bitmania_04_1991_Abyss_Connection,5638016,English,software,,"02.09.2018, 07.06.2020",02.09.2018,,,,https://archive.org/details/Bitmania_04_1991_Abyss_Connection
Bitmania #05 (1991)(Abyss Connection),Bitmania,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bitmania #05 (1991)(Abyss Connection),234,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bitmania_05_1991_Abyss_Connection,5532794,English,software,,"02.09.2018, 07.06.2020",02.09.2018,,,,https://archive.org/details/Bitmania_05_1991_Abyss_Connection
Bitmania #07 (1991)(Abyss Connection),Bitmania,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bitmania #07 (1991)(Abyss Connection),91,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bitmania_07_1991_Abyss_Connection,3092685,English,software,,"02.09.2018, 07.06.2020",02.09.2018,,,,https://archive.org/details/Bitmania_07_1991_Abyss_Connection
Bitmania #08 (1991)(Abyss Connection),Bitmania,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bitmania #08 (1991)(Abyss Connection),83,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bitmania_08_1991_Abyss_Connection,1263526,English,software,,"02.09.2018, 07.06.2020",02.09.2018,,,,https://archive.org/details/Bitmania_08_1991_Abyss_Connection
Bitmania #09 (1991)(Abyss Connection),Bitmania,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bitmania #09 (1991)(Abyss Connection),71,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bitmania_09_1991_Abyss_Connection,1589769,English,software,,"02.09.2018, 07.06.2020",02.09.2018,,,,https://archive.org/details/Bitmania_09_1991_Abyss_Connection
Bitmania #10 (1992)(Abyss Connection),Bitmania,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bitmania #10 (1992)(Abyss Connection),95,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bitmania_10_1992_Abyss_Connection,8936639,English,software,,"02.09.2018, 07.06.2020",02.09.2018,,,,https://archive.org/details/Bitmania_10_1992_Abyss_Connection
Bitmania #11 (1992)(Abyss Connection),Bitmania,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bitmania #11 (1992)(Abyss Connection),166,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bitmania_11_1992_Abyss_Connection,9654830,English,software,,"02.09.2018, 07.06.2020",02.09.2018,,,,https://archive.org/details/Bitmania_11_1992_Abyss_Connection
Bitmania #12 (1992)(Abyss Connection),Bitmania,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bitmania #12 (1992)(Abyss Connection),170,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bitmania_12_1992_Abyss_Connection,9656435,English,software,,"02.09.2018, 07.06.2020",02.09.2018,,,,https://archive.org/details/Bitmania_12_1992_Abyss_Connection
Bitmania #14 (1992 09)(Curve),Bitmania,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bitmania #14 (1992 09)(Curve),120,"Advanced Audio Coding,Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata",Bitmania_14_1992-09_Curve,11325110,English,software,,"02.09.2018, 08.06.2020",02.09.2018,,,,https://archive.org/details/Bitmania_14_1992-09_Curve
BloodElf (1989)(FullForce),BloodElf,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,BloodElf (1989)(FullForce),356,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",BloodElf_1989_FullForce,11084838,English,software,,"02.09.2018, 08.06.2020",02.09.2018,,,,https://archive.org/details/BloodElf_1989_FullForce
Blur #1,Blur,MS-DOS,01.04.1994,"diskmags,softwarelibrary,emulation",,MS-DOS diskmag.,230,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,PNG,ZIP",blur-01,421419,English,software,,"11.01.2015, 01.02.2023",11.01.2015,,,"diskmags,MS-DOS diskmags",https://archive.org/details/blur-01
Boleny #0 (1991 12 12)( ),Bölény,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Boleny #0 (1991 12 12)( ),123,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Boleny_0_1991-12-12_-,1554618,English,software,,"02.09.2018, 08.06.2020",02.09.2018,,,,https://archive.org/details/Boleny_0_1991-12-12_-
Bootlegger Magazine (1983)(Bootleg),Bootlegger Magazine,APPLE II,01.01.1983,"apple_ii_library_magazines,softwarelibrary,softwarelibrary_apple,emulation",,Bootlegger Magazine (1983)(Bootleg),375,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",a2_Bootlegger_Magazine_1983_Bootleg,823022,English,software,,"22.06.2014, 24.03.2022",22.06.2014,,,,https://archive.org/details/a2_Bootlegger_Magazine_1983_Bootleg
Bootlegger Magazine Issue 7 (Bootleg) (1985) (Side 1),Bootlegger Magazine,APPLE II,01.01.1985,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Bootlegger Magazine Issue 7 (Bootleg) (1985) (Side 1),139,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Bootlegger_Magazine_Issue_7_Bootleg_1985_Side_1,733080,English,software,,"31.08.2016, 07.01.2017",31.08.2016,,,,https://archive.org/details/Bootlegger_Magazine_Issue_7_Bootleg_1985_Side_1
Bootlegger Magazine Issue 7 (Bootleg) (1985) (Side 2),Bootlegger Magazine,APPLE II,01.01.1985,"apple_ii_library_magazines,softwarelibrary_apple,softwarelibrary",,Bootlegger Magazine Issue 7 (Bootleg) (1985) (Side 2),175,"Animated GIF,Archive BitTorrent,Emulator Screenshot,JPEG,JPEG Thumb,Metadata,Unknown",Bootlegger_Magazine_Issue_7_Bootleg_1985_Side_2,355924,English,software,,"31.08.2016, 07.01.2017",31.08.2016,,,,https://archive.org/details/Bootlegger_Magazine_Issue_7_Bootleg_1985_Side_2
Brainwash #1 (1993 07)(Citadel),Brainwash,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Brainwash #1 (1993 07)(Citadel),97,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Brainwash_1_1993-07_Citadel,1943854,English,software,,"02.09.2018, 08.06.2020",02.09.2018,,,,https://archive.org/details/Brainwash_1_1993-07_Citadel
Brainwash #2 (1993)(Citadel),Brainwash,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Brainwash #2 (1993)(Citadel),72,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Brainwash_2_1993_Citadel,1606626,English,software,,"02.09.2018, 08.06.2020",02.09.2018,,,,https://archive.org/details/Brainwash_2_1993_Citadel
Brechnews #27 (1992 09 12)( ),Brechnews,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Brechnews #27 (1992 09 12)( ),117,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Brechnews_27_1992-09-12_-,3991636,English,software,,"02.09.2018, 08.06.2020",02.09.2018,,,,https://archive.org/details/Brechnews_27_1992-09-12_-
Brutal Recall #01 (1991 03 13)(Brutal),Brutal Recall,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Brutal Recall #01 (1991 03 13)(Brutal),101,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Brutal_Recall_01_1991-03-13_Brutal,5116516,English,software,,"02.09.2018, 08.06.2020",02.09.2018,,,,https://archive.org/details/Brutal_Recall_01_1991-03-13_Brutal
Brutal Recall #05 (1991 07 23)(Brutal)(Side A),Brutal Recall,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,"Brutal Recall #05 (1991 07 23)(Brutal)(Side A) NOTE: This emulation has multiple disk images. To switch between them, press ALT-8 and select among the .d64 filenames to load that floppy into the drive.",91,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Brutal_Recall_05_1991-07-23_Brutal_Side_A,1749024,English,software,,"02.09.2018, 08.06.2020",02.09.2018,,,,https://archive.org/details/Brutal_Recall_05_1991-07-23_Brutal_Side_A
Brutal Recall #06 (1991)(Brutal),Brutal Recall,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Brutal Recall #06 (1991)(Brutal),84,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Brutal_Recall_06_1991_Brutal,4249535,English,software,,"02.09.2018, 08.06.2020",02.09.2018,,,,https://archive.org/details/Brutal_Recall_06_1991_Brutal
Brutal Recall #07 (1991 10 26)(Brutal),Brutal Recall,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Brutal Recall #07 (1991 10 26)(Brutal),126,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Brutal_Recall_07_1991-10-26_Brutal,1719505,English,software,,"02.09.2018, 08.06.2020",02.09.2018,,,,https://archive.org/details/Brutal_Recall_07_1991-10-26_Brutal
Brutal Recall #08 (1992 01 01)(Brutal),Brutal Recall,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Brutal Recall #08 (1992 01 01)(Brutal),69,"Advanced Audio Coding,Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata",Brutal_Recall_08_1992-01-01_Brutal,5420069,English,software,,"02.09.2018, 08.06.2020",02.09.2018,,,,https://archive.org/details/Brutal_Recall_08_1992-01-01_Brutal
Brutal Recall #09 (1992 03 11)(Brutal),Brutal Recall,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Brutal Recall #09 (1992 03 11)(Brutal),122,"Advanced Audio Coding,Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata",Brutal_Recall_09_1992-03-11_Brutal,4631336,English,software,,"02.09.2018, 08.06.2020",02.09.2018,,,,https://archive.org/details/Brutal_Recall_09_1992-03-11_Brutal
Brutal Recall #10 (1992 05)(Brutal),Brutal Recall,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Brutal Recall #10 (1992 05)(Brutal),67,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Storage Media Image",Brutal_Recall_10_1992-05_Brutal,499864,English,software,,"02.09.2018, 20.12.2021",02.09.2018,,,,https://archive.org/details/Brutal_Recall_10_1992-05_Brutal
Bubble Gum #1 (1992)(Breeze),Bubble Gum,Commodore 64,,"softwarelibrary_c64_diskmags_scene,softwarelibrary_c64,softwarelibrary",,Bubble Gum #1 (1992)(Breeze),112,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG,JPEG Thumb,Metadata,Unknown",Bubble_Gum_1_1992_Breeze,7378368,English,software,,"02.09.2018, 17.06.2020",02.09.2018,,,,https://archive.org/details/Bubble_Gum_1_1992_Breeze
