issue,title,platform,release,collection,creator,description,downloads,format,identifier,item_size,language,mediatype,num_reviews,oai_updatedate,publicdate,publisher,reviewdate,subject,link
64'er Magazin 85 03 (1985)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 85 03 (1985)(Markt & Technik)(de),101,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_85-03_1985_Markt_Technik_de,645288,English,software,,"14.04.2021, 16.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_85-03_1985_Markt_Technik_de
64'er Magazin 85 04 (1985)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 85 04 (1985)(Markt & Technik)(de),96,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_85-04_1985_Markt_Technik_de,657603,English,software,,"14.04.2021, 17.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_85-04_1985_Markt_Technik_de
64'er Magazin 85 05 (1985)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 85 05 (1985)(Markt & Technik)(de),90,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_85-05_1985_Markt_Technik_de,555215,English,software,,"14.04.2021, 18.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_85-05_1985_Markt_Technik_de
64'er Magazin 85 06 (1985)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 85 06 (1985)(Markt & Technik)(de),86,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_85-06_1985_Markt_Technik_de,568651,English,software,,"14.04.2021, 18.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_85-06_1985_Markt_Technik_de
64'er Magazin 85 07 (1985)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 85 07 (1985)(Markt & Technik)(de),85,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_85-07_1985_Markt_Technik_de,688607,English,software,,"14.04.2021, 18.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_85-07_1985_Markt_Technik_de
64'er Magazin 85 08 (1985)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 85 08 (1985)(Markt & Technik)(de),94,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_85-08_1985_Markt_Technik_de,555309,English,software,,"14.04.2021, 18.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_85-08_1985_Markt_Technik_de
64'er Magazin 85 09 (1985)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 85 09 (1985)(Markt & Technik)(de),85,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_85-09_1985_Markt_Technik_de,677306,English,software,,"14.04.2021, 03.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_85-09_1985_Markt_Technik_de
64'er Magazin 85 10 (1985)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 85 10 (1985)(Markt & Technik)(de),91,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_85-10_1985_Markt_Technik_de,664987,English,software,,"14.04.2021, 20.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_85-10_1985_Markt_Technik_de
64'er Magazin 85 11 (1985)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 85 11 (1985)(Markt & Technik)(de),119,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_85-11_1985_Markt_Technik_de,584255,English,software,,"14.04.2021, 18.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_85-11_1985_Markt_Technik_de
64'er Magazin 85 12 (1985)(Markt & Technik)(de),64'er,Commodore 64,,"softwarelibrary_c64_diskmags_commercial,softwarelibrary_c64,softwarelibrary",,64'er Magazin 85 12 (1985)(Markt & Technik)(de),123,"Archive BitTorrent,Emulator Screenshot,Item Tile,JPEG Thumb,Metadata,PNG,Unknown",64er_Magazin_85-12_1985_Markt_Technik_de,664987,English,software,,"14.04.2021, 12.05.2021",14.04.2021,,,,https://archive.org/details/64er_Magazin_85-12_1985_Markt_Technik_de
